gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,0,0,Brad Keller,L,Groundout,field_out,0,0,F,FF,91.6,84.7,25.44,-15.33,-1.38,9.25,-0.53,2.42,3.48,-133.28,-6.52,137.16,173.46,-1.67,50,5.98,-2.52,6,3.6,24,2210,186,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,0,0,Brad Keller,L,Groundout,field_out,0,1,B,FT,95,88.4,26.18,-20.12,-6.26,6.12,-1.3,1.96,3.38,-138.35,-7.49,166.55,185.81,-1.71,50,6.02,-12.33,28.8,4.8,24,2211,227,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,0,0,Brad Keller,L,Groundout,field_out,1,1,B,SL,87.3,82.2,22.09,-39.09,3.54,-4.17,-0.22,-0.1,2.49,-127.04,-7.6,125.45,240.14,-1.67,50,5.97,5.88,8.4,9.6,24,2671,38,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,0,0,Brad Keller,L,Groundout,field_out,2,1,T,FT,93.3,87,24.17,-20.57,-5.24,6.09,-0.4,2.48,4.89,-135.81,-5.75,132.37,172.01,-1.53,50,6.01,-9.98,22.8,4.8,24,2127,220,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,0,0,Brad Keller,L,Groundout,field_out,2,2,X,FT,95.5,88.2,28.76,-18.29,-6.11,7.05,-0.53,1.8,4.84,-138.91,-8.09,137.12,190.08,-1.49,50,5.95,-12.04,28.8,4.8,24,2200,221,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,0,0,F,SL,86.2,80.4,22.48,-35.06,3.52,-1.79,-0.42,1.43,2.11,-125.42,-4.64,132.83,200.15,-1.72,50,6.13,5.67,9.6,9.6,24,2641,60,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,0,1,B,FT,95.1,88.7,25.51,-22.26,-7.13,5.04,0.06,0.91,6.72,-138.14,-9.48,114.77,214.31,-1.46,50,5.83,-14.02,28.8,6,24,2158,236,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,1,1,B,FT,95.2,88.1,27.57,-18.3,-5.13,7.03,-1.27,3.33,2.8,-138.79,-4.21,165.41,148.82,-1.62,50,6.07,-10.13,26.4,4.8,24,2145,215,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,2,1,F,FF,93.5,86.8,26.04,-15.84,0.3,8.59,-0.35,1.86,3.34,-136.09,-8.18,130.21,188.69,-1.62,50,5.97,0.56,3.6,3.6,24,2335,175,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,2,1,F,SL,86.4,80.6,22.32,-37.04,4.11,-3,0.04,2.19,2.75,-125.77,-2.47,115.27,179.66,-1.59,50,6.15,6.67,10.8,9.6,24,2606,54,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,2,1,F,SL,85,79.6,20.83,-38.64,4.38,-4.1,-0.74,1.97,1.13,-123.78,-2.49,145.39,185.59,-1.77,50,6.18,6.92,10.8,9.6,24,2589,46,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,2,1,F,FF,95.6,88.5,27.46,-18.62,1.04,6.83,0.91,3.43,6.16,-139.14,-3.97,82.17,146.23,-1.45,50,6.09,2.07,9.6,3.6,24,2394,165,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,2,2,B,FT,89.9,83.7,23.72,-21.35,-6.56,6.16,-0.76,0.92,4.57,-130.76,-8.8,146.12,213.96,-1.67,50,5.89,-11.53,25.2,6,24,2049,228,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,3,1,F,FF,95.3,88.4,26.84,-14.5,-1.25,8.95,0.86,2.34,6.72,-138.62,-7.21,84.03,175.52,-1.41,50,5.92,-2.46,4.8,3.6,24,2423,184,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,15,1,Brad Keller,L,Lineout,field_out,3,2,X,FF,95.7,88.2,28.87,-13.5,-0.12,9.44,0.01,2.63,4.18,-139.22,-6.75,116.74,167.94,-1.49,50,5.96,-0.24,2.4,3.6,24,2454,177,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,0,0,B,SL,85.3,79.4,23.66,-37.28,2.9,-3.26,-0.69,0.46,1.61,-124.01,-6.13,143.12,226.47,-1.72,50,6.06,4.54,7.2,9.6,24,2645,38,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,1,0,F,FF,94.2,87,27.57,-13.76,-2.96,9.58,-0.13,2.49,4.8,-137.09,-6.81,122,171.57,-1.51,50,5.93,-5.68,18,3.6,24,2393,195,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,1,1,B,CH,88.9,81.7,26.36,-25.14,-7.27,4.13,-1.4,3.22,3.05,-129.44,-2.51,170.51,151.75,-1.65,50,6.13,-12.37,25.2,7.2,24,2021,240,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,2,1,C,SL,85.8,79.4,23.75,-37.52,2.05,-3.36,0.02,2.64,3.3,-124.85,-1.25,116.04,167.61,-1.58,50,6.21,3.25,6,9.6,24,2592,36,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,2,1,F,FF,95.2,88.1,27.77,-16.86,-0.33,7.78,-0.42,2.74,3.37,-138.67,-5.79,132.97,164.82,-1.6,50,5.96,-0.65,0,3.6,24,2342,179,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,36,2,Brad Keller,L,Groundout,field_out,2,2,X,FF,95.1,87.7,28.88,-17.88,1.31,7.34,1.39,2.54,7.21,-138.22,-6.12,63.83,170.22,-1.41,50,5.97,2.56,12,3.6,24,2294,162,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,63,3,Wily Peralta,L,Single,single,0,0,C,FF,93.7,86.9,26.19,-19.62,-6.97,6.6,-0.05,1.76,4.88,-136.11,-8.47,118.89,191.33,-0.95,50,6.23,-13.25,30,4.8,24,1704,227,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,63,3,Wily Peralta,L,Single,single,0,1,D,SL,79.8,74.8,18.46,-36.27,-0.97,-2.96,-0.62,1.45,1.7,-116.07,-3.35,140.5,199.77,-1.23,50,6.31,-1.34,1.2,10.8,24,2179,346,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,0,0,Jakob Junis,L,Strikeout,strikeout,0,0,B,FF,91.8,84.8,25.49,-16.84,-3.78,8.36,-1.37,4.1,2.65,-133.77,-1.25,169.19,128.06,-1.88,50,5.77,-6.93,20.4,3.6,24,1959,202,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,0,0,Jakob Junis,L,Strikeout,strikeout,1,0,F,SI,89.7,83.9,21.64,-23.47,-6.34,4.92,-0.17,2.42,6.12,-130.62,-3.98,123.49,173.54,-1.7,50,5.68,-11.21,22.8,6,24,1804,231,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,0,0,Jakob Junis,L,Strikeout,strikeout,1,1,B,CH,84.8,79.7,19.2,-28.06,-5.37,2.61,0.23,0.61,6.4,-123.28,-6.76,108.38,222.32,-1.68,50,5.69,-8.45,14.4,7.2,24,1518,246,undefined,undefined,
