gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
60,a,Clear,WSH,2019-06-04,8,0,Stephen Strasburg,R,Groundout,field_out,0,0,C,FF,93.8,87,25.76,-15.36,-6.49,8.78,0.53,2.29,9.59,-136.49,-6.41,96.91,177.07,-2.17,50,5.7,-12.42,32.4,3.6,24,2022,213,0.39,7.52,
60,a,Clear,WSH,2019-06-04,8,0,Stephen Strasburg,R,Groundout,field_out,0,1,X,FF,92.6,85.6,26.27,-16.32,-6.25,8.53,0.12,2.33,8.16,-134.76,-5.99,112.52,175.9,-2.12,50,5.71,-11.63,30,4.8,24,1949,213,0.4,6.79,
60,a,Clear,WSH,2019-06-04,31,1,Stephen Strasburg,R,Strikeout,strikeout,0,0,L,FF,90.3,83,26.66,-14.52,-4.96,10.04,0.13,3.1,7.51,-131.48,-3.91,111.94,154.97,-2.11,50,5.68,-8.72,25.2,3.6,24,2049,202,0.41,6.93,
60,a,Clear,WSH,2019-06-04,31,1,Stephen Strasburg,R,Strikeout,strikeout,0,1,C,FF,91.4,84.1,26.94,-16.05,-3.95,8.96,0.58,2.33,8.18,-132.94,-5.6,95.04,175.97,-2.02,50,5.61,-7.11,18,3.6,24,2018,199,0.41,6.94,
60,a,Clear,WSH,2019-06-04,31,1,Stephen Strasburg,R,Strikeout,strikeout,0,2,B,CU,80.2,74.4,22.36,-39.83,6.71,-5.56,0.71,1.21,4.6,-116.74,-1.91,89.9,206.19,-2.16,50,5.79,9.24,14.4,12,24,2746,52,0.47,6.66,
60,a,Clear,WSH,2019-06-04,31,1,Stephen Strasburg,R,Strikeout,strikeout,1,2,L,FF,92.1,84.4,28.7,-16.32,-3.52,8.69,0.22,2.88,7.37,-134.14,-4.17,108.45,161.12,-2.1,50,5.61,-6.42,15.6,3.6,24,2023,197,0.4,7.17,
