gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
61,a,Partly Cloudy,WSH,2019-06-05,17,0,Anibal Sanchez,R,Groundout,field_out,0,0,C,FF,89.8,82.9,25.08,-16.8,-2.1,8.81,0.32,2.85,1.7,-130.68,-4.7,104.86,161.95,-0.06,50,5.91,-3.66,10.8,3.6,24,2029,192,0.42,5.73,
61,a,Partly Cloudy,WSH,2019-06-05,17,0,Anibal Sanchez,R,Groundout,field_out,0,1,B,FF,90.9,83.6,26.99,-14.46,-1.2,9.98,-0.37,1.47,-0.71,-132.11,-8.7,130.25,198.51,0.06,50,5.86,-2.13,8.4,3.6,24,2127,187,0.42,5.94,
61,a,Partly Cloudy,WSH,2019-06-05,17,0,Anibal Sanchez,R,Groundout,field_out,1,1,F,FC,86.3,80.1,22.47,-21.1,2.81,6.84,0.48,2.17,0.73,-125.66,-4.8,98.52,180.19,-0.17,50,5.79,4.55,12,6,24,2240,155,0.44,5.63,
61,a,Partly Cloudy,WSH,2019-06-05,17,0,Anibal Sanchez,R,Groundout,field_out,1,2,B,FF,91.7,84.4,25.99,-13.28,-1.83,10.37,-0.09,4.68,-0.02,-133.5,-1.28,120.32,112.43,0.16,50,6.11,-3.33,14.4,3.6,24,2256,190,0.41,5.61,
61,a,Partly Cloudy,WSH,2019-06-05,17,0,Anibal Sanchez,R,Groundout,field_out,2,2,X,FC,86.9,80.6,22.41,-23.57,3.11,5.23,-0.3,3.11,-1.75,-126.6,-2.26,128.56,154.69,-0.01,50,5.88,5.11,10.8,6,24,2288,150,0.43,5.84,
61,a,Partly Cloudy,WSH,2019-06-05,35,1,Anibal Sanchez,R,Strikeout,strikeout,0,0,C,FF,90.8,84.2,24.37,-15.16,0.19,9.47,0.83,2.37,1.72,-132.23,-6.03,85.18,174.9,0.15,50,5.76,0.35,2.4,3.6,24,2276,177,0.41,6.15,
61,a,Partly Cloudy,WSH,2019-06-05,35,1,Anibal Sanchez,R,Strikeout,strikeout,0,1,B,SL,83,77.7,20.03,-30.79,3.92,0.92,0.79,0.79,1.14,-120.85,-5.32,86.85,217.52,-0.19,50,5.67,5.9,10.8,8.4,24,2251,96,0.45,5.99,
61,a,Partly Cloudy,WSH,2019-06-05,35,1,Anibal Sanchez,R,Strikeout,strikeout,1,1,B,SI,90.8,83.7,26.47,-18.57,-7.61,7.66,0.48,1.2,3.34,-132.01,-7.86,98.8,206.38,0.19,50,5.57,-13.5,32.4,6,24,2187,226,0.42,6.19,
61,a,Partly Cloudy,WSH,2019-06-05,35,1,Anibal Sanchez,R,Strikeout,strikeout,2,1,C,SI,90,83.1,25.51,-18.79,-6.58,7.63,0.18,2.57,2.38,-131.05,-4.53,110.2,169.53,0.12,50,5.7,-11.55,30,4.8,24,2140,221,0.42,6.17,
61,a,Partly Cloudy,WSH,2019-06-05,35,1,Anibal Sanchez,R,Strikeout,strikeout,2,2,S,FS,83.1,76.7,23.3,-26.4,-7.5,3.89,-1.06,1.15,0.28,-120.99,-5.19,157.54,207.81,-0.21,50,5.63,-11.13,21.6,8.4,24,1625,245,0.45,6.19,
