gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,13,0,Brad Keller,R,Groundout,field_out,0,0,B,FF,93.7,87.2,24.89,-16.35,-0.45,8.29,2.18,2.16,9.26,-136.09,-7.31,30.26,182.37,-1.18,50,5.98,-0.85,2.4,3.6,24,2277,176,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,13,0,Brad Keller,R,Groundout,field_out,1,0,X,FT,91.4,84.9,24.72,-22.7,-6.83,5.21,-0.79,2.16,4.54,-133.09,-5.76,147.18,180.45,-1.62,50,5.96,-12.42,26.4,6,24,1986,233,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,30,1,Brad Keller,R,Flyout,field_out,0,0,F,FF,95.9,88.6,28.56,-16.48,-1.42,7.88,-0.07,2.76,4.2,-139.62,-6.06,119.84,164.24,-1.41,50,6.03,-2.82,6,3.6,24,2327,187,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,30,1,Brad Keller,R,Flyout,field_out,0,1,B,FF,95.6,88.3,28.15,-14.62,-0.94,8.91,1.31,1.79,7.4,-138.78,-8.65,67.24,190.54,-1.26,50,5.9,-1.86,1.2,3.6,24,2398,181,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,30,1,Brad Keller,R,Flyout,field_out,1,1,B,FT,93,86.2,26.09,-22.47,-6.25,5.15,-1.52,3.5,2.21,-135.54,-2.91,174.94,144.41,-1.53,50,6.13,-11.78,26.4,6,24,2026,230,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,30,1,Brad Keller,R,Flyout,field_out,2,1,B,FF,94.1,86.7,27.91,-16.25,-1.52,8.36,1.65,2.58,8.31,-136.65,-6.28,53.97,169.26,-1.22,50,6,-2.9,3.6,3.6,24,2262,184,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,30,1,Brad Keller,R,Flyout,field_out,3,1,X,FF,94.7,87,29.1,-15.55,-1.57,8.61,-0.16,2.61,3.66,-137.71,-6.23,123.23,168.22,-1.3,50,5.95,-3.02,7.2,3.6,24,2310,188,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,58,2,Ian Kennedy,R,Groundout,field_out,0,0,C,FF,91.8,83.8,29.23,-14.01,-6.22,10.11,0.6,1.77,9.18,-133.33,-6.69,94.09,190.96,-2.08,50,5.33,-11.18,31.2,3.6,24,2475,208,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,58,2,Ian Kennedy,R,Groundout,field_out,0,1,X,FC,89.6,82.7,25.08,-19.35,-1.43,7.38,0.75,3.18,7.91,-130.44,-2.34,88.36,152.69,-2.12,50,5.53,-2.49,2.4,4.8,24,2244,184,undefined,undefined,
3,a,Sunny,KC,2019-03-31,14,0,Jorge Lopez,R,Groundout,field_out,0,0,C,FF,91.2,83.2,28.79,-16.57,-7.74,8.8,0.6,2.42,7.92,-132.44,-5.89,94.03,173.42,-1.42,50,5.89,-13.73,33.6,4.8,24,1977,219,undefined,undefined,
