gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,8,0,Brad Keller,L,Walk,walk,0,0,B,FF,95.3,89.1,24.31,-16.2,-0.41,8.01,1.61,2.95,8.36,-138.72,-5.62,55.55,159.3,-1.36,50,6.04,-0.82,2.4,3.6,24,2411,177,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,8,0,Brad Keller,L,Walk,walk,1,0,B,FF,94.9,88.4,25.12,-15.32,-2.08,8.62,1.84,0.95,9.69,-137.61,-10.54,46.87,213.13,-1.43,50,5.82,-4.06,8.4,3.6,24,2373,188,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,8,0,Brad Keller,L,Walk,walk,2,0,B,FT,95.8,89.4,25.76,-21.09,-5.79,5.52,-1.21,1.46,3.11,-139.49,-8.34,163.2,199.36,-1.58,50,5.84,-11.62,26.4,4.8,24,2168,228,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,8,0,Brad Keller,L,Walk,walk,3,0,B,FT,93.3,86.5,26.44,-22.6,-6.48,5.07,-1.28,1.61,3.18,-135.74,-7.59,165.78,195.36,-1.62,50,5.99,-12.22,26.4,6,24,1972,234,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,28,1,Brad Keller,L,Strikeout,strikeout,0,0,C,FF,93.9,86.9,26.61,-18.11,-2.16,7.35,0.5,3.03,5.98,-136.64,-4.93,97.84,156.94,-1.42,50,6.08,-4.14,9.6,3.6,24,2225,192,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,28,1,Brad Keller,L,Strikeout,strikeout,0,1,F,FF,93.9,87.1,26.02,-17.89,-1.7,7.47,0.56,1.9,5.93,-136.48,-7.73,95.58,187.48,-1.41,50,5.97,-3.25,6,3.6,24,2168,189,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,28,1,Brad Keller,L,Strikeout,strikeout,0,2,B,SL,87.9,82.4,22.9,-33.89,2.95,-1.03,1.74,-0.04,7.28,-127.64,-8.3,50.51,239.81,-1.51,50,5.88,4.93,9.6,8.4,24,undefined,64,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,28,1,Brad Keller,L,Strikeout,strikeout,1,2,B,SL,87.2,81.7,22.28,-34.35,2.52,-1.32,1.05,0.9,5.69,-126.77,-6.14,77.41,214.12,-1.54,50,6.05,4.16,8.4,8.4,24,undefined,59,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,28,1,Brad Keller,L,Strikeout,strikeout,2,2,S,FF,94.5,87.5,26.55,-18.61,-0.12,6.97,-0.34,3.67,3.28,-137.62,-3.28,129.88,139.79,-1.52,50,6.11,-0.24,1.2,3.6,24,2378,178,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,49,2,Brad Keller,L,Lineout,field_out,0,0,B,SL,86.7,80.5,24.38,-36.37,3.78,-2.6,1.74,1.17,6.9,-125.93,-4.75,50.86,207.2,-1.52,50,6.01,6.1,10.8,9.6,24,2523,56,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,49,2,Brad Keller,L,Lineout,field_out,1,0,X,FF,93.7,86.2,28.19,-17.63,-0.72,7.68,-0.34,2.79,3.59,-136.33,-5.44,129.79,163.6,-1.57,50,6.01,-1.36,2.4,3.6,24,2268,182,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,68,3,Jake Diekman,L,Forceout,force_out,0,0,C,SL,83.9,78.4,20.58,-35.11,-2.4,-1.92,-0.18,1.88,-9.98,-121.91,-1.04,123.75,187.9,4.26,50,5.31,-3.66,8.4,9.6,24,2619,298,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,68,3,Jake Diekman,L,Forceout,force_out,0,1,S,SI,95.1,87.6,27.63,-18.79,8.93,6.87,0.75,2.56,-12.41,-137.98,-4.02,88.3,169.63,4.13,50,5.29,17.41,37.2,4.8,24,2305,130,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,68,3,Jake Diekman,L,Forceout,force_out,0,2,E,SL,84.5,78.9,21.02,-35.68,-3.04,-2.27,-1.04,2.71,-11.27,-122.71,1.01,156.55,165.54,3.98,50,5.3,-4.7,10.8,9.6,24,2710,295,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,0,0,S,FF,92.9,86.5,23.88,-17.53,-5.12,7.76,0.53,2.72,7.73,-135.17,-4.41,96.77,165.24,-1.67,50,5.57,-9.67,24,4.8,24,2136,210,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,0,1,B,FF,92.9,85.5,26.84,-16.36,-4.53,8.5,1.24,2.89,9.18,-134.95,-4.09,69.7,160.85,-1.6,50,5.56,-8.42,21.6,3.6,24,2160,203,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,1,1,B,SL,81.8,76.4,20.67,-37.04,7.51,-3.36,1.62,1.5,5.54,-118.99,-2.09,55.54,198.33,-1.7,50,5.72,10.87,16.8,10.8,24,2531,67,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,2,1,W,SL,83.1,77.7,21.11,-35.5,5.98,-2.22,0.67,0.73,4.09,-120.91,-4.4,91.47,218.98,-1.82,50,5.65,8.96,14.4,9.6,24,2560,68,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,2,2,B,SL,83.3,77.6,21.37,-33,5.4,-0.55,1.67,2.03,6.3,-121.21,-2,53.42,184.01,-1.66,50,5.72,8.11,15.6,9.6,24,2554,84,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,3,1,F,SL,82.8,76,23.96,-33.72,9.88,-1.06,1.25,3.2,3.99,-120.36,0.93,69.16,152.4,-1.71,50,5.8,14.45,24,10.8,24,2464,85,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,8,0,Jakob Junis,L,Strikeout,strikeout,3,2,S,SL,82.2,76.9,19.35,-33.95,8.37,-1.2,0.09,2.81,2.16,-119.77,0.07,113.52,163.08,-1.91,50,5.77,12.38,20.4,9.6,24,2528,83,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,34,1,Jakob Junis,L,Strikeout,strikeout,0,0,B,CU,77.6,71.9,19.25,-37.26,7.94,-3.92,-0.84,2.95,0.44,-112.89,1.44,148.92,159.21,-2.07,50,6.03,10.31,15.6,12,24,2327,66,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,34,1,Jakob Junis,L,Strikeout,strikeout,1,0,F,SI,89.4,82.7,24.08,-21.91,-8.38,5.91,-0.86,3.2,5.33,-130.16,-2.26,149.81,152.38,-1.83,50,5.72,-14.55,31.2,6,24,1924,233,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,34,1,Jakob Junis,L,Strikeout,strikeout,1,1,S,FF,90.3,83.1,25.83,-19.22,-3.36,7.34,-0.04,3.62,5.84,-131.47,-1.63,118.57,141.07,-1.85,50,5.66,-5.93,14.4,4.8,24,2042,200,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,34,1,Jakob Junis,L,Strikeout,strikeout,1,2,W,SL,80.5,74.5,22.89,-36.91,10.62,-3.43,0.82,0.64,3.13,-117.05,-3.55,85.55,221.51,-1.91,50,5.65,14.67,21.6,12,24,2456,71,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,48,2,Tim Hill,L,Pop Out,field_out,0,0,F,SL,76.8,70.5,18.95,-31.61,-0.98,0.45,0.85,3.04,-5.35,-111.6,6.93,84.51,156.69,3.4,50,3.14,-1.25,3.6,9.6,24,2197,227,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,48,2,Tim Hill,L,Pop Out,field_out,0,1,X,CU,77.1,71.7,17.5,-30.03,-4.5,1.66,-0.71,1.76,-7.62,-112.08,4.05,144.25,191.27,3.29,50,2.97,-5.81,13.2,9.6,24,2195,246,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,68,3,Jake Diekman,L,Pop Out,field_out,0,0,B,SL,84,79.1,19.44,-33.27,-0.62,-0.72,-2.17,0.36,-14.92,-121.59,-4.59,199.6,228.97,4.08,50,5.1,-0.95,4.8,8.4,24,2699,295,undefined,undefined,
