gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,6,0,Brad Keller,L,Groundout,field_out,0,0,X,FF,93.5,86.5,26.88,-16.82,0.92,8.1,0.83,2.84,5.53,-136.13,-5.48,85.27,162.19,-1.34,50,6.02,1.74,8.4,3.6,24,2266,168,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,0,0,B,FF,92.9,86,26.21,-17.74,-0.49,7.69,-0.37,3.59,3.08,-135.38,-3.59,131.11,141.8,-1.45,50,6.16,-0.92,1.2,3.6,24,2158,181,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,1,0,C,FF,93.6,86.5,27.25,-15.95,-0.38,8.53,0.07,3.13,4.14,-136.43,-5.04,114.46,154.44,-1.41,50,6.08,-0.73,0,3.6,24,2212,179,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,1,1,B,FT,92.8,85.9,27.18,-23.5,-6.47,4.66,-1.01,1.62,3.44,-135.07,-7.4,155.75,195.19,-1.45,50,6.02,-12.05,24,6,24,1989,236,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,2,1,F,FT,94.5,87.2,27.7,-22.94,-5.35,4.78,-0.3,2.95,5.33,-137.47,-4.25,128.47,159.13,-1.56,50,6.05,-10.33,21.6,4.8,24,2074,227,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,2,2,B,SL,86,80.3,22.33,-34.64,2.85,-1.54,0.8,1.33,4.76,-125.05,-4.72,86.62,202.71,-1.49,50,6.05,4.57,8.4,9.6,24,undefined,60,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,22,1,Brad Keller,L,Strikeout,strikeout,3,2,S,SL,85.2,79.6,21.71,-33.91,3.39,-1.1,-0.23,1.39,2.67,-123.95,-4.63,125.92,201.23,-1.76,50,6.07,5.34,9.6,8.4,24,2536,68,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,47,2,Brad Keller,L,Lineout,field_out,0,0,B,FF,92.5,85.4,26.08,-17.9,-1.74,7.69,0.31,4.31,5.28,-134.61,-1.78,105.08,122.33,-1.44,50,6.23,-3.22,7.2,3.6,24,2326,188,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,47,2,Brad Keller,L,Lineout,field_out,1,0,F,FF,92.2,85,26.88,-17.68,-1.7,7.88,0.1,3.39,5.13,-134.21,-3.9,113.07,147.34,-1.61,50,6.11,-3.12,6,3.6,24,2377,188,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,47,2,Brad Keller,L,Lineout,field_out,1,1,B,FF,92.4,85.2,26.66,-17.59,-0.33,7.89,0.91,4.35,6.18,-134.52,-1.6,82.46,121.44,-1.37,50,6.18,-0.6,2.4,3.6,24,2333,177,undefined,undefined,
