gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
87,a,Clear,OAK,2019-07-12,11,0,Mike Fiers,L,Flyout,field_out,0,0,F,FF,91.9,84.1,28.26,-10.55,-6.29,11.92,-0.46,3.43,3.44,-133.72,-5.16,134.63,146.34,-0.95,50,6.14,-11.42,43.2,3.6,24,2371,207,0.41,5.88,
87,a,Clear,OAK,2019-07-12,11,0,Mike Fiers,L,Flyout,field_out,0,1,B,CU,73.7,66.8,23.45,-44.4,6.28,-10.86,-0.55,1.57,-0.12,-106.99,0.58,137.94,196.45,-1.3,50,6.39,7.07,8.4,16.8,24,2767,30,0.53,5.37,
87,a,Clear,OAK,2019-07-12,11,0,Mike Fiers,L,Flyout,field_out,1,1,C,CU,73.5,66.7,22.09,-44.42,5.24,-10.87,-0.12,3.07,0.88,-106.66,3.54,121.39,155.98,-1.22,50,6.47,5.91,8.4,15.6,24,2705,28,0.53,5.46,
87,a,Clear,OAK,2019-07-12,11,0,Mike Fiers,L,Flyout,field_out,1,2,B,FF,91.7,83.7,28.65,-10.91,-6.89,11.81,1.02,3.87,7.51,-133.34,-3.61,78.22,134.36,-0.94,50,6.03,-12.41,43.2,3.6,24,2449,207,0.41,6.32,
87,a,Clear,OAK,2019-07-12,11,0,Mike Fiers,L,Flyout,field_out,2,2,X,CH,83.8,77,23.04,-25.25,-11.61,4.6,-0.34,2.38,5.68,-121.64,-3.08,129.85,174.7,-1.19,50,5.84,-17.46,32.4,8.4,24,1880,247,0.46,5.05,
87,a,Clear,OAK,2019-07-12,31,1,Mike Fiers,L,Flyout,field_out,0,0,F,SL,86.3,79.9,22.84,-21.08,1.45,6.88,1.25,3.09,4.72,-125.57,-3.36,69.27,155.48,-0.83,50,6.14,2.35,8.4,6,24,2411,163,0.44,5.94,
87,a,Clear,OAK,2019-07-12,31,1,Mike Fiers,L,Flyout,field_out,0,1,B,SL,87.7,80.7,24.94,-17.87,0.46,8.65,1.79,2.82,6.18,-127.48,-4.72,48.87,162.57,-0.72,50,6.1,0.77,6,4.8,24,2526,171,0.43,5.83,
87,a,Clear,OAK,2019-07-12,31,1,Mike Fiers,L,Flyout,field_out,1,1,B,FT,89.6,82.3,25.99,-21.09,-9.72,6.42,-1.26,3.5,3.58,-130.27,-2.18,165.1,144.29,-1.39,50,5.93,-16.79,37.2,6,24,2304,235,0.43,5.29,
87,a,Clear,OAK,2019-07-12,31,1,Mike Fiers,L,Flyout,field_out,2,1,X,CH,83.4,76.9,22.06,-25.9,-10.08,4.2,-0.24,2.36,5.72,-121.06,-3.12,126.12,175.06,-1.31,50,5.92,-15.06,27.6,8.4,24,1819,246,0.46,4.84,
87,a,Clear,OAK,2019-07-12,50,2,Mike Fiers,L,Flyout,field_out,0,0,X,CH,84.7,78.5,21.52,-24.24,-9.59,5.1,-0.14,2.4,5.71,-123.11,-3.57,122.4,173.99,-1.23,50,5.89,-14.9,28.8,7.2,24,1870,241,0.45,4.96,
87,a,Clear,OAK,2019-07-12,70,3,Joakim Soria,L,Single,single,0,0,B,FF,92.1,84.6,27.89,-12.28,-2.16,10.91,0.5,2.39,7.35,-133.96,-6.5,97.94,174.17,-1.99,50,5.72,-3.94,10.8,3.6,24,2272,187,0.41,6.47,
