gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,0,0,C,SL,80,73.7,22.05,-33.22,7.93,-0.77,0.88,2.2,2.86,-116.41,-0.69,83.27,179.25,-1.39,50,5.65,10.86,19.2,10.8,24,2373,85,0.47,5.91,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,0,1,C,SL,79.5,73.4,22.06,-32.93,9.2,-0.56,0.64,1.62,2,-115.8,-1.93,92.76,195.09,-1.44,50,5.62,12.46,20.4,10.8,24,2509,86,0.48,5.96,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,0,2,B,FF,95.3,87.6,29.15,-15.57,-2.78,8.44,0.52,4.45,5.44,-138.88,-0.78,97.2,118.73,-1.1,50,5.76,-5.46,15.6,3.6,24,2043,194,0.39,6.45,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,1,2,B,FF,94.3,86.5,29.6,-15.2,-5.05,8.87,-0.81,2.57,3.94,-137.29,-4.74,147.72,169.48,-1.6,50,5.35,-9.66,28.8,3.6,24,2063,208,0.4,6.26,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,2,2,B,SL,81.4,75.1,23.45,-33.5,8.53,-0.94,1.35,1.08,3.5,-118.38,-3.36,65.43,209.51,-1.25,50,5.6,12.05,20.4,10.8,24,2466,82,0.47,5.89,
4,a,Sunny,CLE,2019-04-01,16,0,Mike Clevinger,R,Lineout,field_out,3,2,X,FF,94.7,87.1,29.26,-12.13,-3.39,10.38,-0.12,1.58,4.95,-137.8,-7.94,120.7,195.11,-1.5,50,5.31,-6.56,21.6,3.6,24,2319,196,0.39,6.84,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,0,0,B,FF,95.6,86.9,32.64,-7.67,-3.15,12.6,1.1,2.31,7.51,-138.93,-7.08,75.21,176.4,-1.24,50,5.41,-6.13,25.2,2.4,24,2339,190,0.39,6.7,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,1,0,C,SL,80,72.9,24.22,-28.78,12.49,2.51,0.14,1.96,0.06,-116.33,-1.84,111.68,185.8,-1.5,50,5.52,16.91,30,9.6,24,2623,101,0.48,5.7,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,1,1,S,FF,95.8,86.9,33.52,-8.74,-4.42,12.02,0.42,2.99,6.39,-139.3,-5.44,101.11,158.18,-1.34,50,5.55,-8.62,34.8,2.4,24,2165,197,0.39,6.85,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,1,2,B,FF,96.6,87.3,35.18,-10.3,-4.97,11.07,0.64,4.09,7.01,-140.52,-2.34,92.64,128.37,-1.26,50,5.61,-9.83,37.2,2.4,24,2282,200,0.39,6.79,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,2,2,B,FF,96.2,87.3,33.19,-9.01,-5.24,11.78,0.97,2.89,8.17,-139.78,-5.44,80.04,160.8,-1.32,50,5.46,-10.31,39.6,2.4,24,2341,200,0.39,6.68,
4,a,Sunny,CLE,2019-04-01,32,1,Mike Clevinger,R,Strikeout,strikeout,3,2,S,FF,96.1,87.3,33.82,-9.44,-4.65,11.56,-0.19,2.62,4.75,-139.91,-5.97,124.21,168.05,-1.31,50,5.41,-9.14,36,2.4,24,2157,200,0.39,6.78,
