gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
21,a,Partly Cloudy,BAL,2019-04-22,10,0,David Hess,L,Groundout,field_out,0,0,B,CU,78.7,73.2,20.51,-33.99,3.62,-1.37,0.45,0.06,4.82,-114.26,-5.55,99.95,237.24,-2.16,50,5.85,4.8,8.4,10.8,24,2472,66,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,10,0,David Hess,L,Groundout,field_out,1,0,C,CH,83.7,77.4,20.57,-23.48,-7.47,5.73,0.21,3.52,7.66,-121.56,-0.82,109.08,143.85,-1.99,50,5.87,-11.34,22.8,7.2,24,1482,228,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,10,0,David Hess,L,Groundout,field_out,1,1,X,CH,85.3,79,21.46,-23.1,-8.35,5.75,-0.54,2.9,6.71,-123.97,-2.37,137.42,160.4,-2.18,50,5.77,-13.18,27.6,7.2,24,1574,233,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,0,0,C,FF,93,84.9,29.47,-11.03,-3.19,11.46,-1.08,2.13,4.32,-135.02,-7.08,158.28,181.35,-2.29,50,5.56,-5.89,21.6,2.4,24,2350,193,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,0,1,B,CU,78.3,72.6,20.64,-35.37,3.61,-2.43,-1.01,1.13,1.75,-113.91,-2.68,155.63,208.19,-2.26,50,5.82,4.75,8.4,10.8,24,2430,56,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,1,1,T,FF,91.5,83.5,27.79,-13.58,-5.18,10.4,0.85,3.52,9.46,-132.72,-2.99,84.72,143.8,-2.09,50,5.64,-9.25,27.6,3.6,24,2224,201,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,1,2,B,FF,94.1,86,29.91,-11.69,-3.53,10.79,-1.63,3.16,2.53,-136.82,-4.65,178.97,153.39,-2.1,50,5.68,-6.71,26.4,3.6,24,2277,197,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,2,2,B,CU,79.7,74.2,20.05,-34,2.36,-1.33,-0.14,1.07,3.62,-115.84,-3.49,122.52,209.84,-2.03,50,5.82,3.23,6,10.8,24,2354,60,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,3,1,F,FF,94.2,86,30.1,-12.67,-5.53,10.31,-0.88,1.73,5.2,-136.68,-8.06,150.57,191.98,-2.09,50,5.59,-10.46,32.4,3.6,24,2272,207,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,31,1,David Hess,L,Walk,walk,3,2,B,FF,94.4,85.8,31.61,-12.93,-3.39,10.14,-1.37,2.82,3.44,-137.18,-5.4,169.12,162.55,-2.2,50,5.71,-6.43,21.6,3.6,24,2261,197,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,45,2,Gabriel Ynoa,L,Field Error,field_error,0,0,B,FF,95.6,87.7,29.75,-25.36,-12.65,3.49,0.58,1.26,10.09,-138.56,-6.07,95.06,204.77,-1.46,50,5.17,-24.69,40.8,7.2,24,2060,255,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,45,2,Gabriel Ynoa,L,Field Error,field_error,1,0,S,SL,88,80.1,27.44,-21.49,-11.46,6.48,-0.24,2.55,7.44,-127.85,-2.54,126.18,170.07,-1.7,50,5.25,-18.89,38.4,7.2,24,2227,238,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,45,2,Gabriel Ynoa,L,Field Error,field_error,1,1,B,FF,95.1,86.9,30.6,-22.73,-11.78,4.9,1.06,1.98,10.47,-137.92,-4.76,76.47,185.28,-1.25,50,5.26,-22.7,40.8,7.2,24,2078,246,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,45,2,Gabriel Ynoa,L,Field Error,field_error,2,1,D,FF,94.9,86.7,30.2,-17.01,-10.54,7.89,-0.04,1.85,7.45,-137.73,-5.73,118.39,188.87,-1.4,50,5.1,-20.26,45.6,6,24,2080,232,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,0,0,B,SL,87.8,81.3,25.16,-28.68,-1.53,2.11,-0.01,0.5,-6.1,-127.63,-6.77,117.47,225.4,2.6,50,5.43,-2.54,7.2,7.2,24,2674,237,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,1,0,C,FF,95.9,88.3,28.59,-16.08,7.11,8.13,-0.76,2.14,-11.44,-139.19,-6.31,145.79,180.98,2.47,50,5.48,14.07,33.6,4.8,24,2476,142,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,1,1,B,FF,95.6,87.6,30.39,-13.89,6.63,9.4,-0.72,0.64,-11.12,-138.45,-10.16,144.6,221.39,2.48,50,5.29,12.89,33.6,3.6,24,2334,147,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,2,1,S,SL,88.1,80.8,26.65,-30.72,-1.29,0.87,-0.08,2.46,-6.73,-128.05,-1.77,119.98,172.25,2.75,50,5.57,-2.13,6,7.2,24,2637,248,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,2,2,B,FF,96.5,88.2,31.48,-13.92,5.89,9.22,-0.63,1.3,-10.53,-139.83,-8.86,140.89,203.71,2.42,50,5.42,11.67,30,3.6,24,2366,150,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,3,1,F,SL,87.7,80.8,25.15,-30.31,-0.45,1.13,0.01,2.46,-6.74,-127.42,-1.83,116.54,172.42,2.75,50,5.57,-0.75,3.6,7.2,24,2558,229,undefined,undefined,
21,a,Partly Cloudy,BAL,2019-04-22,57,3,Tanner Scott,L,Strikeout,strikeout,3,2,S,SL,89.3,82.2,26.07,-28.29,-2.99,2.26,0.43,2.95,-5.06,-129.84,-1.5,100.53,159.11,2.79,50,5.68,-5.13,12,7.2,24,2628,237,undefined,undefined,
22,a,Partly Cloudy,BAL,2019-04-23,10,0,Andrew Cashner,L,Single,single,0,0,B,FF,90.4,83.7,25.13,-17.23,-6.64,8.48,-0.7,1.4,2.55,-131.26,-9.56,143.51,200.88,-0.81,50,6.35,-11.71,31.2,4.8,24,2040,219,0.42,5.34,
22,a,Partly Cloudy,BAL,2019-04-23,10,0,Andrew Cashner,L,Single,single,1,0,C,SL,82.3,77,19.58,-31.04,3.34,0.77,-0.12,2.18,1.14,-119.84,-3.93,121.76,179.82,-1.04,50,6.57,4.94,9.6,8.4,24,2197,98,0.47,4.97,
22,a,Partly Cloudy,BAL,2019-04-23,10,0,Andrew Cashner,L,Single,single,1,1,B,CH,83.3,77.8,20.22,-24.67,-6.45,4.98,0.06,0.94,3.79,-121.07,-8.24,114.74,213.29,-0.68,50,6.5,-9.72,19.2,7.2,24,1585,234,0.46,5.23,
22,a,Partly Cloudy,BAL,2019-04-23,10,0,Andrew Cashner,L,Single,single,2,1,D,FF,93.6,86.5,26.54,-13.22,-4.97,10.03,0.14,1.47,4.33,-135.81,-10.37,111.55,198.96,-0.82,50,6.23,-9.38,30,3.6,24,2220,206,0.41,5.25,
22,a,Partly Cloudy,BAL,2019-04-23,31,1,Andrew Cashner,L,Grounded Into DP,grounded_into_double_play,0,0,C,FF,93.7,86.2,28.23,-15.23,-3.45,8.99,0.26,1.77,4.38,-136.05,-9.13,107.03,190.94,-0.92,50,6.21,-6.5,18,3.6,24,2246,200,0.41,5.31,
22,a,Partly Cloudy,BAL,2019-04-23,31,1,Andrew Cashner,L,Grounded Into DP,grounded_into_double_play,0,1,*B,CU,80.9,74.5,24.1,-38.34,5.85,-4.45,-0.37,0.8,-0.33,-117.5,-5.01,131.17,217.27,-0.99,50,6.55,8.1,12,12,24,2438,49,0.48,4.7,
22,a,Partly Cloudy,BAL,2019-04-23,31,1,Andrew Cashner,L,Grounded Into DP,grounded_into_double_play,1,1,*B,CH,84.7,78.2,23.91,-23.03,-7.49,5.97,-0.45,0.27,3.19,-122.85,-9.86,134.31,231.47,-0.8,50,6.29,-11.46,24,7.2,24,1762,235,0.45,5.25,
22,a,Partly Cloudy,BAL,2019-04-23,31,1,Andrew Cashner,L,Grounded Into DP,grounded_into_double_play,2,1,X,CH,84.6,78.3,22.07,-22.35,-5.95,6.34,-0.66,2.71,2.2,-123.09,-4.75,142.16,165.48,-0.79,50,6.54,-9.21,20.4,6,24,1644,223,0.45,5.33,
22,a,Partly Cloudy,BAL,2019-04-23,56,2,Andrew Cashner,L,Strikeout,strikeout,0,0,C,FF,92.8,85.1,28.71,-17.4,-3.37,8.02,-0.27,2.28,2.79,-134.74,-7.45,127.31,177.15,-0.88,50,6.31,-6.21,16.8,4.8,24,2303,202,0.41,5.35,
22,a,Partly Cloudy,BAL,2019-04-23,56,2,Andrew Cashner,L,Strikeout,strikeout,0,1,S,CH,83.1,76,25.12,-23.74,-9.12,5.77,-0.69,1.17,2.88,-120.61,-7.39,143.37,207.23,-0.72,50,6.39,-13.33,26.4,8.4,24,1547,240,0.46,5.52,
22,a,Partly Cloudy,BAL,2019-04-23,56,2,Andrew Cashner,L,Strikeout,strikeout,0,2,B,FT,92,84.4,28.55,-16.67,-7.35,8.58,-1.53,1.43,1.35,-133.57,-9.46,175.5,200.24,-1.09,50,6.21,-13.29,34.8,4.8,24,2107,223,0.42,5.59,
22,a,Partly Cloudy,BAL,2019-04-23,56,2,Andrew Cashner,L,Strikeout,strikeout,1,2,*B,CU,80.2,73.7,25.31,-41.16,7.52,-6.68,0.3,-0.43,0.85,-116.27,-6.4,105.69,250.42,-1.05,50,6.34,10.12,13.2,13.2,24,2567,45,0.49,4.57,
22,a,Partly Cloudy,BAL,2019-04-23,56,2,Andrew Cashner,L,Strikeout,strikeout,2,2,S,CH,83.8,77.1,24.58,-25.84,-8.33,4.23,-0.64,0.79,3.06,-121.76,-7.99,141.5,217.57,-0.84,50,6.35,-12.47,24,8.4,24,1411,247,0.46,5.7,
23,a,Partly Cloudy,BAL,2019-04-24,47,0,Paul Fry,L,Groundout,field_out,0,0,C,FF,90.4,83.4,25.66,-19.71,1.55,7.07,-1.07,2.41,-9.24,-131.42,-3.51,157.81,173.75,2.28,50,5.21,2.73,2.4,4.8,24,2423,175,undefined,undefined,
23,a,Partly Cloudy,BAL,2019-04-24,47,0,Paul Fry,L,Groundout,field_out,0,1,B,SL,82.6,75.6,25.62,-35.05,-6.02,-1.99,0.18,1.09,-3.77,-120.1,-2.25,110.04,209.33,2.56,50,5.19,-8.7,14.4,10.8,24,2796,287,undefined,undefined,
