gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
1,a,Cloudy,KC,2019-03-28,1,0,Brad Keller,L,Lineout,field_out,0,0,B,SL,87.1,81.2,23.64,-35.9,3.47,-2.27,-0.07,0.99,2.96,-126.67,-5.6,119.67,212.24,-1.7,50,6.07,5.69,9.6,9.6,24,2689,54,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,1,0,Brad Keller,L,Lineout,field_out,1,0,X,FT,93.4,87,24.8,-21.87,-8.58,5.41,-0.27,1.57,6.3,-135.86,-7.65,127.13,196.51,-1.48,50,5.89,-16.32,33.6,6,24,2082,239,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,20,1,Brad Keller,L,Lineout,field_out,0,0,X,SL,86.1,80.3,22.11,-34.63,2.39,-1.52,0.06,2,3.39,-125.31,-3.4,114.86,184.83,-1.61,50,6.16,3.85,7.2,8.4,24,2584,57,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,37,2,Brad Keller,L,Single,single,0,0,C,FT,93.4,86.6,26.54,-23.92,-6.5,4.36,-0.42,1.93,5.08,-135.94,-6.34,133.15,186.54,-1.46,50,5.93,-12.31,24,6,24,2206,237,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,37,2,Brad Keller,L,Single,single,0,1,B,FF,94.5,87.3,27.83,-18.89,-0.12,6.9,1.42,1.88,7.67,-137.28,-7.52,62.82,187.96,-1.38,50,5.93,-0.24,3.6,4.8,24,2340,173,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,37,2,Brad Keller,L,Single,single,1,1,D,FT,95,87.8,28.42,-22.54,-6.61,4.93,-0.45,2.26,4.93,-138.3,-6.05,134.27,177.63,-1.39,50,5.97,-12.92,26.4,6,24,2183,234,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,64,3,Wily Peralta,L,Walk,walk,0,0,C,SL,81.8,75.2,23.19,-33.93,-0.24,-1.23,0.03,2.56,2.84,-118.99,-1.74,115.99,169.52,-1.15,50,6.38,-0.35,0,9.6,24,undefined,6,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,64,3,Wily Peralta,L,Walk,walk,0,1,*B,CH,84.1,77.5,23.44,-18.91,-6.34,8.76,-0.96,0.67,1.87,-122.11,-8.91,154.87,219.88,-0.91,50,5.98,-9.59,24,6,24,1548,217,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,64,3,Wily Peralta,L,Walk,walk,1,1,B,FF,93.7,86.6,27.49,-16.6,-7.14,8.23,-0.03,1.16,4.28,-136.11,-10.24,118.19,207.52,-0.69,50,6.1,-13.51,34.8,4.8,24,1745,222,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,64,3,Wily Peralta,L,Walk,walk,2,1,B,SL,80.2,73.8,21.46,-37.22,-0.42,-3.66,0.42,3.48,3.28,-116.52,1.16,100.83,144.78,-0.95,50,6.49,-0.58,0,10.8,24,2136,0,undefined,undefined,
1,a,Cloudy,KC,2019-03-28,64,3,Wily Peralta,L,Walk,walk,3,1,B,FF,94.3,86.7,29.2,-19.5,-6.7,6.61,-1.42,3.38,0.81,-137.27,-4.34,171.03,147.54,-0.84,50,6.3,-12.84,32.4,4.8,24,1698,226,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,1,0,Jakob Junis,L,Single,single,0,0,B,SI,92.3,85.7,25.44,-22.19,-10.21,5.38,-1.31,2.5,5.19,-134.52,-4.33,167.13,171.44,-1.93,50,5.67,-18.96,38.4,6,24,1974,242,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,1,0,Jakob Junis,L,Single,single,1,0,B,CU,79.7,74.7,17.98,-31.53,4.59,0.46,1.19,2.39,5.41,-116.05,-1.33,71.72,174.29,-1.75,50,5.92,6.37,12,9.6,24,2289,95,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,1,0,Jakob Junis,L,Single,single,2,0,D,SI,92,84.6,27.67,-20.87,-8.68,6.2,-0.41,2.58,6.62,-133.88,-4.12,132.6,169.08,-1.78,50,5.62,-15.83,33.6,6,24,2108,233,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,27,1,Jakob Junis,L,Groundout,field_out,0,0,C,CU,76.4,71.3,17.39,-35.2,6.11,-2.38,0.34,2.56,3.16,-111.12,0.26,104.16,169.69,-1.89,50,6.06,7.74,13.2,12,24,2298,71,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,27,1,Jakob Junis,L,Groundout,field_out,0,1,X,CH,84,79,18.62,-30.53,-5.2,1.06,0.26,2,6.21,-122.37,-3.46,107.07,184.9,-1.61,50,5.98,-8.08,13.2,8.4,24,1457,259,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,44,2,Jakob Junis,L,Single,single,0,0,C,CH,83.8,78.3,19.16,-27.06,-4.33,3.32,-0.68,3.02,3.77,-122.06,-1.27,143.07,157.15,-1.67,50,5.84,-6.67,13.2,7.2,24,1433,229,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,44,2,Jakob Junis,L,Single,single,0,1,C,SL,81.9,75.9,21.87,-33.49,7.12,-0.91,-0.27,1.72,1.67,-119.2,-2.41,127.11,192.37,-1.9,50,5.75,10.3,16.8,9.6,24,2472,82,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,44,2,Jakob Junis,L,Single,single,0,2,*B,SL,82,76.6,21.92,-32.9,9.69,-0.5,2.12,0.03,5.64,-119.2,-5.88,36.32,238.06,-1.53,50,5.48,14.01,24,10.8,24,2452,84,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,44,2,Jakob Junis,L,Single,single,1,2,D,FF,90.9,84,25.05,-18.05,-3.42,7.88,0.16,2.81,5.87,-132.27,-3.71,110.95,162.97,-1.63,50,5.53,-6.12,15.6,4.8,24,2036,200,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,0,0,B,FF,88.9,82.4,22.74,-18.58,-4.12,7.88,-0.08,4.03,6.26,-129.42,-0.63,120.22,129.93,-1.98,50,5.68,-7.11,18,4.8,24,2084,203,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,1,0,F,CH,77.7,71.2,20.63,-28.5,-8.48,2.85,-1.12,2.63,4.13,-112.9,-0.05,159.71,167.88,-1.87,50,5.52,-10.94,19.2,9.6,24,1178,248,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,1,1,B,CH,77.3,71.9,18.52,-28.82,-10.07,2.59,-0.77,1.25,4.78,-112.48,-3.17,146.64,204.94,-1.6,50,5.58,-13.03,22.8,9.6,24,1123,255,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,2,1,C,FF,88.9,82.2,23.77,-19,-4.95,7.68,-0.79,2.78,4.19,-129.35,-3.18,147.07,163.85,-1.78,50,5.46,-8.5,21.6,4.8,24,2067,211,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,2,2,B,CH,78.2,72.3,19.97,-28.54,-9.78,2.76,-0.23,0.98,5.92,-113.73,-3.58,124.69,212.56,-1.59,50,5.39,-12.86,22.8,9.6,24,1107,254,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,61,3,Brad Boxberger,L,Home Run,home_run,3,2,E,CH,77,71.9,17.03,-37.59,-5.11,-4.19,0.26,3.02,5.82,-112.05,2.41,107.05,157.31,-1.68,50,5.73,-6.61,8.4,12,24,1033,310,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,76,4,Ian Kennedy,L,Flyout,field_out,0,0,B,KC,77.5,72.1,18.99,-42.33,5.76,-7.81,-1.38,2.56,0.78,-112.87,2.29,169.74,169.69,-2.48,50,5.77,7.49,10.8,13.2,24,2581,38,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,76,4,Ian Kennedy,L,Flyout,field_out,1,0,S,FF,92.5,85.6,25.86,-15.93,-5.49,8.73,-0.66,2.59,6.07,-134.72,-4.34,142.08,168.84,-2.21,50,5.33,-10.21,28.8,3.6,24,2413,210,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,76,4,Ian Kennedy,L,Flyout,field_out,1,1,S,FF,93,85.9,26.63,-16.32,-5.15,8.44,-0.9,2.91,5.45,-135.46,-3.7,151.17,160.12,-2.26,50,5.42,-9.68,26.4,3.6,24,2428,209,undefined,undefined,
2,a,Cloudy,KC,2019-03-30,76,4,Ian Kennedy,L,Flyout,field_out,1,2,X,KC,78.4,73.1,19.61,-42.51,5.71,-7.79,0.49,1.9,4.46,-114.09,0.87,98.34,187.56,-2.23,50,5.68,7.58,10.8,13.2,24,2529,40,undefined,undefined,
3,a,Sunny,KC,2019-03-31,1,0,Jorge Lopez,L,Strikeout,strikeout,0,0,C,FF,92.8,85.3,27.98,-14.38,-6.98,9.62,0.19,1.45,7.23,-134.84,-8.7,97.79,151.17,-1.62,50,5.72,-12.92,36,4.8,24,2010,215,undefined,undefined,
3,a,Sunny,KC,2019-03-31,1,0,Jorge Lopez,L,Strikeout,strikeout,0,1,C,FT,92.6,84.7,29.26,-23.49,-11.99,4.74,-0.27,2.71,7.73,-134.54,-3.87,100.87,146.45,-1.63,50,5.83,-21.98,39.6,7.2,24,1959,248,undefined,undefined,
3,a,Sunny,KC,2019-03-31,1,0,Jorge Lopez,L,Strikeout,strikeout,0,2,S,CU,81.9,76.2,22.3,-39.23,1.13,-4.89,0.64,0.96,5.05,-119.18,-3.52,105.69,156.83,-1.65,50,5.99,1.62,3.6,10.8,24,2537,19,undefined,undefined,
3,a,Sunny,KC,2019-03-31,20,1,Jorge Lopez,L,Strikeout,strikeout,0,0,B,CU,78.4,73.1,18.16,-35.86,4.84,-2.76,-1.55,2.9,-0.64,-114.19,0.71,176.1,160.54,-1.9,50,6.07,6.48,9.6,10.8,24,2366,62,undefined,undefined,
3,a,Sunny,KC,2019-03-31,20,1,Jorge Lopez,L,Strikeout,strikeout,1,0,F,CU,78.3,73.4,18.56,-38.53,3.46,-4.78,0.22,1.21,3.4,-113.97,-2.3,108.48,206.17,-1.73,50,5.99,4.61,7.2,12,24,2336,38,undefined,undefined,
3,a,Sunny,KC,2019-03-31,20,1,Jorge Lopez,L,Strikeout,strikeout,1,1,S,CU,79.3,74.7,18.82,-39.67,3.34,-5.47,0.35,0.49,3.44,-115.53,-3.7,103.72,225.6,-1.59,50,5.87,4.57,7.2,12,24,2303,33,undefined,undefined,
3,a,Sunny,KC,2019-03-31,20,1,Jorge Lopez,L,Strikeout,strikeout,1,2,S,CU,78.4,72.6,21.47,-42.37,4.23,-7.76,-0.26,1.21,2.37,-114.04,-1.24,126.62,205.67,-1.86,50,5.95,5.55,8.4,13.2,24,2489,30,undefined,undefined,
3,a,Sunny,KC,2019-03-31,35,2,Jorge Lopez,L,Double,double,0,0,B,CU,79.3,74.2,20.48,-39.49,2.52,-5.4,1.13,0.09,5.48,-115.36,-4.7,73.84,236.38,-1.6,50,5.94,3.41,6,12,24,2335,29,undefined,undefined,
3,a,Sunny,KC,2019-03-31,35,2,Jorge Lopez,L,Double,double,1,0,B,CH,90,82.7,27.08,-24.15,-11.06,4.6,-1.94,2.82,3.15,-131.05,-3.31,190.89,162.6,-1.72,50,5.9,-19.29,37.2,7.2,24,1807,247,undefined,undefined,
3,a,Sunny,KC,2019-03-31,35,2,Jorge Lopez,L,Double,double,2,0,C,FF,90.2,83.2,25.59,-17.62,-6.36,8.28,-0.78,1.93,4.6,-131.19,-6.77,146.63,186.65,-1.72,50,5.84,-11.18,28.8,4.8,24,1814,217,undefined,undefined,
3,a,Sunny,KC,2019-03-31,35,2,Jorge Lopez,L,Double,double,2,1,D,CU,79.8,74.3,19.75,-39.49,3.06,-5.29,-0.08,2.58,2.69,-116.21,0.3,120.07,169.18,-1.65,50,6.17,4.23,7.2,12,24,2308,33,undefined,undefined,
3,a,Sunny,KC,2019-03-31,47,3,Kevin McCarthy,L,Single,single,0,0,E,CH,83.7,76.9,24.1,-28.02,-9.49,2.76,-0.82,1.97,4.33,-121.9,-3.07,148.1,185.53,-1.38,50,5.67,-14.28,25.2,8.4,24,1819,254,undefined,undefined,
3,a,Sunny,KC,2019-03-31,68,4,Chris Ellis,L,Pop Out,field_out,0,0,B,FF,93.6,85.6,29.4,-12.42,-6.25,10.52,0.56,3.36,7.21,-136.09,-5.2,95.63,148.06,-1.31,50,6.15,-11.74,37.2,3.6,24,2279,208,undefined,undefined,
3,a,Sunny,KC,2019-03-31,68,4,Chris Ellis,L,Pop Out,field_out,1,0,B,KC,79.5,73.8,20.32,-39.21,1.44,-5.16,-1.4,2.79,-0.49,-115.68,-0.05,170.2,163.62,-1.37,50,6.55,1.96,2.4,12,24,2354,15,undefined,undefined,
3,a,Sunny,KC,2019-03-31,68,4,Chris Ellis,L,Pop Out,field_out,2,0,B,FF,93.2,85.8,27.92,-16.89,-9.26,8.16,-1.16,2.35,4.08,-135.54,-6.79,161.31,175.41,-1.48,50,6.05,-17.34,42,4.8,24,2299,229,undefined,undefined,
3,a,Sunny,KC,2019-03-31,68,4,Chris Ellis,L,Pop Out,field_out,3,0,C,FF,93.3,85.5,28.87,-13.22,-5.88,10.15,0.85,2.65,7.17,-135.61,-6.92,84.55,167.25,-1.06,50,6.15,-10.98,32.4,3.6,24,2301,208,undefined,undefined,
3,a,Sunny,KC,2019-03-31,68,4,Chris Ellis,L,Pop Out,field_out,3,1,X,FF,93.7,86,28.8,-13.84,-7.6,9.71,-0.45,2.26,5.1,-136.25,-7.59,134.16,177.86,-1.36,50,6.03,-14.34,40.8,4.8,24,2264,218,undefined,undefined,
