gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
82,h,Cloudy,DET,2019-07-03,0,0,0,JaCoby Jones,R,Flyout,field_out,0,0,X,FF,97.3,89.6,29.93,-13.96,-1.55,8.92,-0.01,2.49,3.76,-141.44,-7.94,117.16,171.59,-1.15,50,6.22,-3.16,8.4,3.6,24,2391,188,0.39,5.9,3.28,1.59,
82,h,Cloudy,DET,2019-07-03,1,1,1,Christin Stewart,L,Groundout,field_out,0,0,B,FF,98.6,90.3,32.59,-13.07,-2.54,9.14,-0.72,3.95,3.29,-143.55,-4.39,144.38,132.34,-1.55,50,6.3,-5.3,18,2.4,24,2367,193,0.38,6.07,3.25,1.58,
82,h,Cloudy,DET,2019-07-03,2,1,1,Christin Stewart,L,Groundout,field_out,1,0,B,FF,98.7,90.8,30.96,-15.68,-1.89,7.83,0.81,4.01,6.53,-143.66,-3.69,86.14,130.61,-1.24,50,6.27,-3.97,8.4,3.6,24,2323,189,0.38,6.01,3.11,1.46,
82,h,Cloudy,DET,2019-07-03,3,1,1,Christin Stewart,L,Groundout,field_out,2,0,C,FF,98,90.6,29.01,-13.59,-3.52,8.94,0.24,2.08,5.65,-142.46,-8.93,107.66,182.6,-1.29,50,6.09,-7.33,21.6,3.6,24,2314,199,0.39,5.99,3.19,1.54,
82,h,Cloudy,DET,2019-07-03,4,1,1,Christin Stewart,L,Groundout,field_out,2,1,F,FT,98.1,90.4,30.05,-17.31,-5.27,7.14,0.07,3.28,5.89,-142.73,-5.23,114.11,150.2,-1.32,50,6.22,-10.98,27.6,3.6,24,2347,214,0.39,5.66,3.28,1.59,
82,h,Cloudy,DET,2019-07-03,5,1,1,Christin Stewart,L,Groundout,field_out,2,2,X,FF,98.4,90.8,30.28,-18.17,-1.14,6.7,0.19,2.77,5.13,-143.09,-6.76,109.54,164.21,-1.47,50,6.28,-2.38,3.6,3.6,24,2367,185,0.39,5.82,3.28,1.59,
82,h,Cloudy,DET,2019-07-03,6,2,2,Nicholas Castellanos,R,Walk,walk,0,0,C,CU,81.5,75,23.24,-47.1,1.76,-10.54,-1.01,3.03,0.72,-118.45,2.24,155.38,157.33,-1.54,50,6.38,2.49,3.6,13.2,24,2732,10,0.47,5.11,3.44,1.63,
82,h,Cloudy,DET,2019-07-03,7,2,2,Nicholas Castellanos,R,Walk,walk,0,1,B,FF,99,90.4,33.44,-15.76,-3.01,7.81,0.62,4.39,6.19,-144.04,-2.85,93.18,120.32,-1.16,50,6.37,-6.33,16.8,3.6,24,2352,196,0.38,5.93,3.53,1.7,
82,h,Cloudy,DET,2019-07-03,8,2,2,Nicholas Castellanos,R,Walk,walk,1,1,F,FF,99.6,91.1,33.3,-13.18,-2.65,8.96,0.07,2.58,5.24,-144.64,-7.85,114.34,169.34,-1.42,50,6.13,-5.63,16.8,2.4,24,2405,194,0.38,5.76,3.54,1.7,
82,h,Cloudy,DET,2019-07-03,9,2,2,Nicholas Castellanos,R,Walk,walk,1,2,B,FF,98.4,91.1,28.53,-16.52,-3.15,7.42,0.82,4.62,6.98,-143.3,-2.26,85.72,114.18,-1.22,50,6.43,-6.66,16.8,3.6,24,2474,198,0.38,5.97,3.53,1.7,
