gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
4,a,Sunny,CLE,2019-04-01,0,66,0,Greg Allen,R,Walk,walk,0,0,B,SL,87.3,80.5,25.39,-23.1,-0.73,5.55,-0.69,1.19,-7.1,-126.9,-6.77,143.22,206.53,2.24,50,5.73,-1.19,6,6,24,2134,198,0.43,6.48,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,1,66,0,Greg Allen,R,Walk,walk,1,0,F,FF,91,83.5,27.65,-13.64,2.54,10.43,-0.92,2.74,-8.59,-132.3,-5.63,152.16,164.73,2.03,50,5.9,4.51,10.8,3.6,24,2174,171,0.41,6.44,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,2,66,0,Greg Allen,R,Walk,walk,1,1,B,SL,85.6,79.9,21.63,-26.1,-1.3,3.81,-0.76,1.56,-6.77,-124.61,-5.15,145.85,196.77,2.15,50,5.77,-2.07,6,7.2,24,2177,211,0.44,6.57,3.37,1.64,
4,a,Sunny,CLE,2019-04-01,3,66,0,Greg Allen,R,Walk,walk,2,1,B,FF,90.8,83.4,26.86,-19.75,1.48,6.98,-0.09,5.32,-5.93,-132.29,1.55,120.42,95.24,1.98,50,6.17,2.64,4.8,4.8,24,2179,173,0.41,6.51,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,4,66,0,Greg Allen,R,Walk,walk,3,1,B,FF,91.6,84.3,27.21,-16.14,5.9,8.86,1.24,2.33,-4.62,-133.31,-6.18,69.63,175.91,2.23,50,5.83,10.68,28.8,4.8,24,2189,147,0.41,6.57,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,5,67,1,Eric Stamets,R,Strikeout,strikeout,0,0,B,FF,91.7,84.5,26.22,-16.24,5.99,8.74,0.7,4.03,-5.8,-133.54,-1.96,90.29,130.01,2.11,50,5.93,10.92,30,4.8,24,2255,148,0.41,6.37,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,6,67,1,Eric Stamets,R,Strikeout,strikeout,1,0,B,FF,92.5,84.8,28.36,-14.52,6.53,9.6,0.57,3.38,-5.98,-134.58,-4.24,95.18,147.51,1.97,50,6,12.01,34.8,3.6,24,2245,147,0.41,6.33,3.39,1.53,
4,a,Sunny,CLE,2019-04-01,7,67,1,Eric Stamets,R,Strikeout,strikeout,2,0,C,SL,85,78.7,22.92,-26.58,-2.01,3.57,0.83,2.64,-3.19,-123.92,-2.47,85.54,167.43,2.39,50,5.85,-3.15,7.2,7.2,24,2350,214,0.44,6.54,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,8,67,1,Eric Stamets,R,Strikeout,strikeout,2,1,B,SL,84.8,78.9,22.19,-25.68,-1.89,4.15,1.48,1.43,-1.83,-123.59,-5.47,60.42,200.36,2.48,50,5.8,-2.96,7.2,7.2,24,2381,209,0.44,6.5,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,9,67,1,Eric Stamets,R,Strikeout,strikeout,3,1,S,FF,91.6,83.9,28.02,-16.27,6.02,8.82,-0.17,3.48,-7.73,-133.28,-3.03,123.65,144.72,1.98,50,5.81,10.85,28.8,4.8,24,2252,149,0.41,6.54,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,10,67,1,Eric Stamets,R,Strikeout,strikeout,3,2,S,FF,90.8,83,28.45,-13.88,6.58,10.37,1.26,2.24,-4.87,-132.06,-6.59,69.1,178.18,2.27,50,5.8,11.61,34.8,4.8,24,2316,148,0.42,6.36,3.37,1.53,
4,a,Sunny,CLE,2019-04-01,11,68,2,Leonys Martin,L,Strikeout,strikeout,0,0,B,SL,86.3,79.7,24.11,-25.47,-2.67,4.16,1.45,2.71,-1.28,-125.82,-2.83,61.64,165.55,2.32,50,5.9,-4.31,9.6,7.2,24,2344,215,0.43,6.38,3.47,1.59,
4,a,Sunny,CLE,2019-04-01,12,68,2,Leonys Martin,L,Strikeout,strikeout,1,0,C,SL,84.5,78.6,21.7,-28.83,-2.18,2.15,0.73,2.53,-3.7,-123.13,-2.19,89.18,170.58,2.53,50,5.84,-3.38,7.2,7.2,24,2391,231,0.44,6.37,3.47,1.59,
4,a,Sunny,CLE,2019-04-01,13,68,2,Leonys Martin,L,Strikeout,strikeout,1,1,B,SL,84.7,78.9,21.87,-27.3,-1.91,3.13,-0.51,1.16,-6.12,-123.26,-5.55,136.33,207.33,2.24,50,5.72,-2.98,8.4,7.2,24,2376,224,0.44,6.58,3.33,1.59,
4,a,Sunny,CLE,2019-04-01,14,68,2,Leonys Martin,L,Strikeout,strikeout,2,1,F,FF,92.2,84.5,28.66,-15.1,6.02,9.37,0.3,2.15,-6.69,-134.08,-6.87,105.72,180.81,2.04,50,5.82,10.98,30,4.8,24,2281,148,0.41,6.48,3.47,1.59,
4,a,Sunny,CLE,2019-04-01,15,68,2,Leonys Martin,L,Strikeout,strikeout,2,2,S,SL,85.5,79.1,23.97,-26.99,-1.38,3.3,0.09,1.37,-4.78,-124.42,-5.37,113.7,201.82,2.21,50,5.78,-2.17,6,7.2,24,2368,215,0.44,6.67,3.47,1.59,
7,h,Cloudy,SEA,2019-04-06,0,38,0,Jay Bruce,L,Strikeout,strikeout,0,0,C,FF,92,84.2,28.34,-14.3,5.13,9.83,0.32,3.5,-6.01,-133.86,-4,104.83,144.34,1.92,50,6.03,9.33,27.6,3.6,24,2282,154,undefined,undefined,3.34,1.56,
7,h,Cloudy,SEA,2019-04-06,1,38,0,Jay Bruce,L,Strikeout,strikeout,0,1,B,SL,85.7,79.6,23.07,-28,-1.84,2.64,-1.53,1.36,-8.15,-124.57,-5.33,175.19,201.98,2.02,50,5.82,-2.91,8.4,7.2,24,2289,232,undefined,undefined,3.42,1.6,
