gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
65,h,Partly Cloudy,WSH,2019-06-10,0,0,0,Trea Turner,R,Strikeout,strikeout,0,0,B,FF,92.8,86.2,25.26,-19.22,-6.28,6.94,1.04,1.19,9.07,-134.83,-7.84,77.48,206.65,-1.53,50,5.46,-11.72,26.4,4.8,24,2139,220,0.41,6.08,3.41,1.67,
65,h,Partly Cloudy,WSH,2019-06-10,1,0,0,Trea Turner,R,Strikeout,strikeout,1,0,F,FF,91.1,84.4,24.65,-17.63,-3.98,8.07,-0.2,2.29,4.77,-132.47,-5.63,124.52,177.08,-1.49,50,5.7,-7.17,19.2,4.8,24,2079,204,0.42,5.74,3.33,1.6,
65,h,Partly Cloudy,WSH,2019-06-10,2,0,0,Trea Turner,R,Strikeout,strikeout,1,1,F,SL,81.5,76.2,18.96,-36.63,3.11,-3.06,0.19,2.95,2.96,-118.78,0.87,109.56,159.59,-1.47,50,5.86,4.53,7.2,10.8,24,2611,50,0.46,5.69,3.33,1.6,
65,h,Partly Cloudy,WSH,2019-06-10,3,0,0,Trea Turner,R,Strikeout,strikeout,1,2,B,FF,93.9,87,25.74,-21.33,-4.87,5.64,-1.24,4.1,2.69,-136.78,-0.66,164.16,128.19,-1.59,50,5.79,-9.36,22.8,4.8,24,2101,218,0.4,5.86,3.47,1.7,
65,h,Partly Cloudy,WSH,2019-06-10,4,0,0,Trea Turner,R,Strikeout,strikeout,2,2,S,CU,72.8,67.2,18.81,-43.93,5.22,-10.4,-0.18,2.5,1.08,-105.84,2.78,123.68,171.68,-1.37,50,6.22,5.9,8.4,15.6,24,2855,29,0.52,5.74,3.33,1.6,
65,h,Partly Cloudy,WSH,2019-06-10,5,1,1,Adam Eaton,L,Double,double,0,0,C,FF,93,85.4,27.96,-18.36,-4.13,7.41,0.2,3.12,5.32,-135.28,-3.4,109.18,154.69,-1.24,50,5.67,-7.7,19.2,4.8,24,2181,206,0.41,5.96,3.26,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,6,1,1,Adam Eaton,L,Double,double,0,1,F,FF,93.4,85.9,28.39,-22.44,-3.03,5.19,0.51,2.18,6.16,-135.77,-5.39,97.52,180.02,-1.39,50,5.74,-5.69,10.8,4.8,24,2194,206,0.41,5.95,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,7,1,1,Adam Eaton,L,Double,double,0,2,B,CH,77.3,70.9,20.78,-26.58,-4.62,4.37,-2.41,3.09,-1.16,-112.56,-0.09,208.97,155.28,-1.29,50,5.83,-5.91,13.2,8.4,24,1252,226,0.49,5.95,2.85,1.36,
65,h,Partly Cloudy,WSH,2019-06-10,8,1,1,Adam Eaton,L,Double,double,1,1,F,CH,79,73.2,20.11,-25.41,-2.85,5.02,0.18,1.14,3.81,-114.95,-4.84,110.24,208.09,-1.13,50,5.72,-3.83,7.2,8.4,24,1196,207,0.48,6.22,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,9,1,1,Adam Eaton,L,Double,double,1,2,B,FF,94.2,86.6,28.77,-20.84,-4.71,5.94,1.41,2.3,8.67,-136.91,-5.39,63.12,176.65,-1.18,50,5.71,-8.98,18,4.8,24,2165,214,0.4,6.18,2.93,1.34,
65,h,Partly Cloudy,WSH,2019-06-10,10,1,1,Adam Eaton,L,Double,double,2,1,F,CU,74.4,67.8,22.33,-44.11,4.79,-10.31,0.02,1.7,1.64,-108.03,1.34,116.1,193.34,-1.38,50,6,5.55,7.2,15.6,24,2891,27,0.52,5.24,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,11,1,1,Adam Eaton,L,Double,double,2,1,F,FC,86.9,80.6,23.17,-30,1.11,1.32,0.15,2.71,3.6,-126.57,-1.77,110.99,165.82,-1.42,50,5.8,1.82,4.8,7.2,24,2643,130,0.44,5.79,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,12,1,1,Adam Eaton,L,Double,double,2,2,D,FF,93.1,86.2,26.15,-19.31,-5.17,6.85,-0.06,1.82,5.75,-135.4,-6.14,119.42,189.65,-1.53,50,5.44,-9.72,22.8,4.8,24,1964,215,0.41,5.89,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,13,2,2,Anthony Rendon,R,Groundout,field_out,0,0,B,SL,80.9,74.2,23.1,-36.91,4.31,-3.4,1.25,2.54,5.9,-117.44,1.5,69.37,170.22,-1.86,50,5.33,6,10.8,10.8,24,2808,59,0.47,5.55,3.18,1.52,
65,h,Partly Cloudy,WSH,2019-06-10,14,2,2,Anthony Rendon,R,Groundout,field_out,1,0,X,FC,85.6,78.1,27.28,-31.38,-0.11,0.51,0.4,1.36,4.41,-124.28,-4.32,101.66,202.2,-1.39,50,5.75,-0.17,1.2,8.4,24,2511,100,0.45,5.53,3.19,1.52,
65,h,Partly Cloudy,WSH,2019-06-10,15,3,3,Juan Soto,L,Groundout,field_out,0,0,X,CU,74.4,68.1,21.18,-41.59,6.88,-8.08,-0.08,1.95,0.95,-108,1.25,119.71,186.63,-1.41,50,5.99,8.02,10.8,14.4,24,2749,42,0.52,5.21,3.16,1.55,
65,h,Partly Cloudy,WSH,2019-06-10,16,7,4,Howie Kendrick,R,Walk,walk,0,0,C,SI,90.5,82.9,27.14,-26.86,-9.43,3.02,-0.2,3.17,7.43,-131.53,-0.35,124.65,153.36,-1.83,50,5.29,-16.57,28.8,7.2,24,2117,249,0.42,5.92,3.09,1.33,
65,h,Partly Cloudy,WSH,2019-06-10,17,7,4,Howie Kendrick,R,Walk,walk,0,1,T,FC,86.8,80.6,23.2,-28.84,0.59,2.04,1.19,1.93,6.03,-126.22,-4,71.73,186.48,-1.3,50,5.84,0.96,3.6,7.2,24,2661,143,0.44,5.78,3.14,1.4,
65,h,Partly Cloudy,WSH,2019-06-10,18,7,4,Howie Kendrick,R,Walk,walk,0,2,B,FC,88,81.5,25.02,-27.12,-0.62,3.05,2.36,-0.07,8.89,-127.55,-8.93,27.14,240.7,-1.08,50,5.6,-1.02,1.2,7.2,24,2663,168,0.43,5.86,3.05,1.4,
65,h,Partly Cloudy,WSH,2019-06-10,19,7,4,Howie Kendrick,R,Walk,walk,1,2,B,SL,78.6,71.8,23.1,-38.26,9.07,-4.67,1.83,2.72,5.37,-114.05,2.76,47.35,165.28,-1.74,50,5.3,11.82,19.2,12,24,2755,68,0.49,5.33,2.96,1.29,
65,h,Partly Cloudy,WSH,2019-06-10,20,7,4,Howie Kendrick,R,Walk,walk,2,2,B,SI,92.6,85.1,27.04,-27.26,-10.61,2.67,1.33,2.7,11.58,-134.39,-1.4,66.42,165.75,-1.64,50,5.15,-19.55,32.4,7.2,24,2176,254,0.41,6.24,3.04,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,21,7,4,Howie Kendrick,R,Walk,walk,3,2,B,FC,86,79.7,23.5,-31.22,0.15,0.6,1.43,1.52,7.03,-125,-3.97,62.55,197.79,-1.43,50,5.67,0.24,2.4,8.4,24,2725,106,0.44,5.68,2.96,1.27,
65,h,Partly Cloudy,WSH,2019-06-10,22,8,5,Matt Adams,L,Single,single,0,0,B,FF,93.1,85.9,26.95,-19.85,-4.85,6.56,1.09,3.13,7.26,-135.54,-3.25,75.39,154.08,-0.98,50,5.72,-9.11,20.4,4.8,24,2113,212,0.4,6.48,3.48,1.66,
65,h,Partly Cloudy,WSH,2019-06-10,23,8,5,Matt Adams,L,Single,single,1,0,D,CH,80.1,74.5,19.25,-26.3,-3.02,4.21,0.53,2.29,4.76,-116.67,-2.33,96.73,177.03,-1.13,50,5.74,-4.21,7.2,7.2,24,1242,210,0.47,6.31,3.54,1.71,
65,h,Partly Cloudy,WSH,2019-06-10,24,9,6,Brian Dozier,R,Flyout,field_out,0,0,C,FC,87.3,81.2,22.75,-32,0.63,0.11,0.73,2.23,5.1,-127.07,-2.31,89.08,178.56,-1.37,50,5.66,1.04,3.6,8.4,24,2654,90,0.44,5.55,2.93,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,25,9,6,Brian Dozier,R,Flyout,field_out,0,1,B,FF,92.7,85.5,27.2,-17.72,-3.55,7.81,0.31,1.27,5.71,-134.69,-7.95,105.32,204.37,-1.37,50,5.5,-6.56,15.6,4.8,24,2065,202,0.41,5.82,2.98,1.42,
65,h,Partly Cloudy,WSH,2019-06-10,26,9,6,Brian Dozier,R,Flyout,field_out,1,1,F,SL,82.3,75.7,23.77,-38.91,5.36,-4.66,0.78,2.03,3.53,-119.63,-0.58,87.43,183.88,-1.41,50,5.77,7.74,12,10.8,24,2704,52,0.47,5.46,2.91,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,27,9,6,Brian Dozier,R,Flyout,field_out,1,2,*B,FC,88.2,80.9,27.84,-30.39,0.4,1.08,1.11,0.7,5.41,-128.17,-6.28,74.84,219.72,-1.09,50,5.57,0.66,3.6,7.2,24,2652,110,0.43,6.03,2.91,1.39,
65,h,Partly Cloudy,WSH,2019-06-10,28,9,6,Brian Dozier,R,Flyout,field_out,2,2,X,FF,94.7,86.1,32.09,-17.88,-6.02,7.48,0.8,3.37,7.1,-137.76,-2.78,86.48,147.83,-1.03,50,5.6,-11.51,27.6,4.8,24,2096,215,0.4,6.38,2.91,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,29,10,7,Kurt Suzuki,R,Sac Fly,sac_fly,0,0,C,SL,81.5,74.1,25.28,-35.91,7.32,-2.66,0.23,3.04,1.6,-118.5,1.39,107.98,157.01,-1.4,50,5.75,10.27,16.8,10.8,24,2549,73,0.47,5.73,3.05,1.45,
65,h,Partly Cloudy,WSH,2019-06-10,30,10,7,Kurt Suzuki,R,Sac Fly,sac_fly,0,1,E,FC,87.4,79.8,27.98,-33.57,1.41,-0.86,0.44,2.42,3.63,-127.12,-1.54,100.34,173.39,-1.2,50,5.72,2.29,4.8,8.4,24,2670,64,0.44,5.68,3.14,1.45,
65,h,Partly Cloudy,WSH,2019-06-10,31,11,8,Victor Robles,R,Forceout,force_out,0,0,X,SI,93.3,84.4,33.13,-29.51,-10.63,1.46,0.14,1.91,8.04,-135.42,-2.58,111.7,187.24,-1.51,50,4.97,-19.48,30,7.2,24,2162,262,0.41,5.73,3.3,1.52,
65,h,Partly Cloudy,WSH,2019-06-10,32,15,9,Trea Turner,R,Triple,triple,0,0,D,SI,90.2,82.4,27.83,-28.37,-11.41,2.19,0.28,2.41,9.07,-130.91,-1.49,106.23,173.61,-1.75,50,5.11,-19.79,32.4,8.4,24,2108,258,0.42,5.73,3.33,1.6,
65,h,Partly Cloudy,WSH,2019-06-10,33,16,10,Adam Eaton,L,Single,single,0,0,B,FC,88.2,81.6,24.51,-24.55,-0.8,4.55,1.98,1.2,7.95,-128.11,-6.11,41.68,206.2,-1.05,50,5.51,-1.34,0,6,24,2544,178,0.43,5.59,3.05,1.37,
65,h,Partly Cloudy,WSH,2019-06-10,34,16,10,Adam Eaton,L,Single,single,1,0,B,CU,74.9,68.5,22.32,-42.37,6.08,-8.68,1.07,1.29,3.19,-108.72,0.09,76.08,204.02,-1.21,50,5.92,7.15,10.8,14.4,24,2686,38,0.52,5.14,2.84,1.3,
65,h,Partly Cloudy,WSH,2019-06-10,35,16,10,Adam Eaton,L,Single,single,2,0,B,FC,87.7,81.1,24.47,-26.82,-0.11,3.23,1.52,1.34,7.04,-127.41,-5.2,59.05,202.62,-1.26,50,5.5,-0.18,2.4,7.2,24,2593,165,0.43,5.68,3.04,1.33,
65,h,Partly Cloudy,WSH,2019-06-10,36,16,10,Adam Eaton,L,Single,single,3,0,C,FF,92.2,84.2,29.17,-17.53,-5.81,8.06,0.92,2.75,7.27,-134.03,-4.21,82.06,164.51,-1.07,50,5.59,-10.55,26.4,4.8,24,2051,212,0.41,5.97,3.08,1.37,
65,h,Partly Cloudy,WSH,2019-06-10,37,16,10,Adam Eaton,L,Single,single,3,1,F,FF,94,85.8,30.24,-15.14,-5.9,9.03,0.5,2.44,6.72,-136.56,-5.32,97.9,172.92,-1.23,50,5.46,-11.13,31.2,3.6,24,2183,210,0.41,5.8,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,38,16,10,Adam Eaton,L,Single,single,3,2,E,FC,87.7,81,24.47,-26.81,1.09,3.23,0.6,2.45,4.8,-127.63,-2.66,94.06,172.69,-1.44,50,5.6,1.81,6,7.2,24,2659,151,0.43,5.7,3.07,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,39,17,11,Anthony Rendon,R,Flyout,field_out,0,0,B,FF,93.6,85.8,29.01,-15.91,-5.88,8.69,1.16,1.2,8.02,-135.73,-8.35,72.83,206.5,-1.07,50,5.42,-11,27.6,4.8,24,2267,212,0.41,5.82,3.12,1.48,
65,h,Partly Cloudy,WSH,2019-06-10,40,17,11,Anthony Rendon,R,Flyout,field_out,1,0,B,FC,86.9,80,25.95,-30.63,1.15,0.95,0.78,1.12,4.78,-126.35,-4.78,87.16,208.44,-1.28,50,5.5,1.85,4.8,8.4,24,2607,106,0.44,5.57,3.06,1.44,
65,h,Partly Cloudy,WSH,2019-06-10,41,17,11,Anthony Rendon,R,Flyout,field_out,2,0,F,FC,86.3,78.9,26.41,-28.98,1.52,2.01,0.33,2.56,3.46,-125.52,-1.81,104.27,169.4,-1.26,50,5.66,2.41,6,7.2,24,2547,134,0.44,5.54,3.19,1.52,
65,h,Partly Cloudy,WSH,2019-06-10,42,17,11,Anthony Rendon,R,Flyout,field_out,2,1,X,FF,93,84.8,30.54,-18.59,-2.77,7.37,-0.02,2.18,3.93,-135.19,-5.36,117.89,179.89,-1.14,50,5.5,-5.11,12,4.8,24,1864,198,0.41,5.91,3.19,1.52,
65,h,Partly Cloudy,WSH,2019-06-10,43,18,12,Juan Soto,L,Pop Out,field_out,0,0,C,FF,92.9,84.9,29.92,-20.08,-4.25,6.55,-0.17,3,4.08,-135.17,-3.52,123.43,157.73,-1.15,50,5.73,-7.86,18,4.8,24,2036,210,0.41,5.77,2.98,1.43,
65,h,Partly Cloudy,WSH,2019-06-10,44,18,12,Juan Soto,L,Pop Out,field_out,0,1,B,FF,92.8,84.8,29.31,-18.39,-5.72,7.46,-1.89,3.28,1.37,-135.03,-2.73,189.15,150.23,-1.66,50,5.6,-10.56,28.8,4.8,24,2060,217,0.41,5.9,3.16,1.51,
65,h,Partly Cloudy,WSH,2019-06-10,45,18,12,Juan Soto,L,Pop Out,field_out,1,1,F,SL,76.7,69.8,23.63,-40.15,7.76,-6.46,1,2.06,2.32,-111.46,0.78,78.94,183.09,-1.07,50,5.92,9.58,14.4,13.2,24,2814,53,0.5,5.75,3.16,1.55,
65,h,Partly Cloudy,WSH,2019-06-10,46,18,12,Juan Soto,L,Pop Out,field_out,1,2,B,FC,87.7,81.6,22.63,-26.31,-0.24,3.51,1.33,1.98,6.18,-127.55,-4.1,66.24,185.23,-1.08,50,5.65,-0.4,1.2,6,24,2524,172,0.43,5.61,2.92,1.39,
65,h,Partly Cloudy,WSH,2019-06-10,47,18,12,Juan Soto,L,Pop Out,field_out,2,2,X,FC,80.1,74.1,20.01,-27.34,-2.3,3.48,-0.82,2.72,1.83,-116.63,-0.77,148.28,165.55,-1.31,50,5.61,-3.2,6,8.4,24,1074,210,0.47,5.94,3.16,1.55,
65,h,Partly Cloudy,WSH,2019-06-10,48,19,13,Howie Kendrick,R,Walk,walk,0,0,B,FF,94.1,87.2,26.5,-20.02,-3.63,6.34,1.48,1.26,7.78,-136.72,-7.6,60.67,204.79,-0.92,50,5.42,-6.96,14.4,4.8,24,2180,206,0.4,6.05,3.1,1.4,
65,h,Partly Cloudy,WSH,2019-06-10,49,19,13,Howie Kendrick,R,Walk,walk,1,0,S,FC,87,81.3,21.93,-29.79,-1.33,1.45,1.04,1.25,6.01,-126.6,-4.98,77.42,205.06,-1.18,50,5.58,-2.2,2.4,7.2,24,2697,213,0.44,5.45,3.14,1.4,
65,h,Partly Cloudy,WSH,2019-06-10,50,19,13,Howie Kendrick,R,Walk,walk,1,1,B,FF,94.4,87.2,27.11,-17.5,-3.86,7.59,0.21,3.16,5.02,-137.41,-3.34,109.16,153.38,-1.13,50,5.56,-7.47,19.2,3.6,24,2072,204,0.4,5.96,3.07,1.39,
65,h,Partly Cloudy,WSH,2019-06-10,51,19,13,Howie Kendrick,R,Walk,walk,2,1,B,FF,94.3,87.1,27.5,-21.49,-1.29,5.53,-0.83,3.08,1.87,-137.42,-2.88,148.47,155.68,-1.34,50,5.59,-2.49,6,4.8,24,2017,191,0.4,5.84,3.06,1.39,
65,h,Partly Cloudy,WSH,2019-06-10,52,19,13,Howie Kendrick,R,Walk,walk,3,1,B,SI,91.8,84.6,26.57,-29.87,-9.05,1.27,1.48,1.6,10.76,-133.22,-3.43,60,195.29,-1.42,50,5.05,-16.38,25.2,7.2,24,2050,262,0.41,5.91,3.12,1.39,
65,h,Partly Cloudy,WSH,2019-06-10,53,20,14,Matt Adams,L,Groundout,field_out,0,0,B,CH,80.7,74.8,20.43,-25.18,-6.41,4.96,-0.07,1.06,4.41,-117.44,-4.73,119.53,210.03,-1.13,50,5.42,-9.03,18,8.4,24,1417,232,0.47,6.14,3.45,1.71,
65,h,Partly Cloudy,WSH,2019-06-10,54,20,14,Matt Adams,L,Groundout,field_out,1,0,B,FC,87.6,81.6,22.36,-30.1,-0.02,1.24,1.55,1.81,6.89,-127.36,-3.43,58.1,189.92,-1.17,50,5.51,-0.04,2.4,7.2,24,2631,145,0.43,5.54,3.48,1.71,
65,h,Partly Cloudy,WSH,2019-06-10,55,20,14,Matt Adams,L,Groundout,field_out,2,0,X,FF,93.1,86.1,26.57,-22.19,-4.52,5.31,0.54,2.25,5.71,-135.46,-4.75,96.56,178.12,-1,50,5.55,-8.5,18,4.8,24,1899,218,0.41,6.03,3.54,1.71,
65,h,Partly Cloudy,WSH,2019-06-10,56,25,15,Brian Dozier,R,Flyout,field_out,0,0,B,FF,92.8,85.2,28.27,-18.33,-5.29,7.49,1.21,1.99,8.06,-134.83,-6.06,70.81,185.03,-1.12,50,5.55,-9.78,22.8,4.8,24,2148,212,0.41,6.04,2.9,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,57,25,15,Brian Dozier,R,Flyout,field_out,1,0,C,FF,91.2,84.1,26.1,-19.3,-5.34,7.18,0.35,1.74,6.23,-132.54,-6.42,103.63,191.66,-1.33,50,5.59,-9.57,22.8,4.8,24,2120,215,0.41,6.01,2.76,1.28,
65,h,Partly Cloudy,WSH,2019-06-10,58,25,15,Brian Dozier,R,Flyout,field_out,1,1,X,FF,93.4,86.5,26.42,-20.98,-3.85,5.91,-0.14,2.05,4.84,-136,-5.6,122.25,183.57,-1.43,50,5.56,-7.3,16.8,4.8,24,2006,211,0.4,5.97,2.91,1.35,
65,h,Partly Cloudy,WSH,2019-06-10,59,26,16,Kurt Suzuki,R,Flyout,field_out,0,0,F,SI,93.1,86.1,26.06,-23.61,-9.34,4.56,0.55,2.56,8.07,-135.34,-3.63,96.18,169.46,-1.24,50,5.55,-17.53,33.6,6,24,2143,243,0.41,6.06,3.14,1.45,
65,h,Partly Cloudy,WSH,2019-06-10,60,26,16,Kurt Suzuki,R,Flyout,field_out,0,1,F,SI,91.8,84.4,27.21,-28.01,-10.36,2.29,-0.41,2.05,7.83,-133.46,-2.15,132.7,183.4,-2.03,50,4.87,-18.79,31.2,7.2,24,2127,256,0.41,5.71,3.14,1.45,
