gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
79,h,Partly Cloudy,MIN,2019-06-28,0,0,0,Jorge Polanco,R,Groundout,field_out,0,0,C,SI,90.7,84.3,23.22,-23.69,8.08,4.74,0.17,2.93,-7.28,-131.83,-4,110.44,159.65,1.9,50,6.18,14.48,28.8,6,24,2075,121,0.42,5.45,3.44,1.67,
79,h,Partly Cloudy,MIN,2019-06-28,1,0,0,Jorge Polanco,R,Groundout,field_out,0,1,X,CH,84.4,79.4,18.6,-26.07,5.62,3.9,0.62,1.66,-4.72,-122.84,-5.72,93.33,193.81,1.82,50,6.17,8.8,16.8,7.2,24,1617,124,0.45,5.19,3.4,1.64,
79,h,Partly Cloudy,MIN,2019-06-28,2,1,1,Max Kepler,L,Strikeout,strikeout,0,0,B,FF,91,83.8,25.55,-17.62,6.83,8.14,-0.38,3.47,-7.77,-132.21,-3.99,131.37,145.25,1.7,50,6.28,12.21,30,4.8,24,2195,142,0.42,5.31,3.4,1.63,
79,h,Partly Cloudy,MIN,2019-06-28,3,1,1,Max Kepler,L,Strikeout,strikeout,1,0,F,SI,90.2,84.1,22.97,-22.95,10.2,5.21,0.32,1.67,-7.03,-131.06,-7.12,104.8,193.73,1.69,50,6.09,18.06,34.8,7.2,24,2101,116,0.42,5.31,3.42,1.62,
79,h,Partly Cloudy,MIN,2019-06-28,4,1,1,Max Kepler,L,Strikeout,strikeout,1,1,B,SI,90.7,83.8,24.57,-25.06,9.24,3.99,1.06,3.77,-5.48,-131.85,-1.67,76.67,136.84,1.95,50,6.24,16.49,31.2,7.2,24,1993,114,0.42,5.23,3.45,1.49,
79,h,Partly Cloudy,MIN,2019-06-28,5,1,1,Max Kepler,L,Strikeout,strikeout,2,1,F,SL,78,72.8,18.49,-37.41,-1.18,-3.97,0.41,2.07,-2.73,-113.38,-1.34,101.22,182.71,1.78,50,6.37,-1.55,2.4,12,24,1982,338,0.49,4.86,3.4,1.64,
79,h,Partly Cloudy,MIN,2019-06-28,6,1,1,Max Kepler,L,Strikeout,strikeout,2,2,S,CH,88,82.1,21.71,-26.39,1.28,3.43,-1.41,2.85,-8.06,-127.91,-3.63,170.79,162,1.59,50,6.31,2.16,2.4,6,24,2180,171,0.43,5.3,3.65,1.71,
79,h,Partly Cloudy,MIN,2019-06-28,7,2,2,C.J. Cron,R,Single,single,0,0,B,SL,77,71.7,18.75,-35.89,0.6,-2.9,0.99,1.62,-2.08,-111.95,-2.51,79.28,195.15,1.85,50,6.4,0.76,1.2,12,24,1866,6,0.5,4.99,3.65,1.7,
79,h,Partly Cloudy,MIN,2019-06-28,8,2,2,C.J. Cron,R,Single,single,1,0,F,FF,91.7,84.8,24.97,-16.72,6.78,8.5,-0.39,2.02,-7.57,-133.06,-7.72,132.01,184.23,1.59,50,6.14,12.31,31.2,4.8,24,2275,142,0.42,5.45,3.65,1.71,
79,h,Partly Cloudy,MIN,2019-06-28,9,2,2,C.J. Cron,R,Single,single,1,1,B,CH,87.3,81.1,22.4,-27.29,3.31,2.96,-1.18,2.78,-8.04,-126.85,-3.4,161.97,163.73,1.58,50,6.28,5.47,8.4,7.2,24,2046,138,0.44,5.2,3.77,1.72,
79,h,Partly Cloudy,MIN,2019-06-28,10,2,2,C.J. Cron,R,Single,single,2,1,C,CH,85.3,79.4,21,-27.01,8.09,3.27,-0.45,2.24,-7.85,-123.91,-4.23,134.26,178.41,1.68,50,6.18,12.79,22.8,7.2,24,1615,112,0.45,5.35,3.62,1.71,
79,h,Partly Cloudy,MIN,2019-06-28,11,2,2,C.J. Cron,R,Single,single,2,2,D,CH,85,79.4,20.48,-26.48,7.24,3.63,0.56,0.94,-5.47,-123.47,-7.16,95.81,213.44,1.84,50,6.05,11.37,20.4,7.2,24,1680,114,0.45,5.09,3.08,1.45,
