gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
28,h,Clear,BAL,2019-05-01,0,65,0,Stevie Wilkerson,L,Strikeout,strikeout,0,0,C,FF,97.3,89.5,30.13,-11.46,-9.05,10.16,-0.79,2.05,6.69,-141.38,-8.61,147.13,183.51,-2,50,5.86,-18.44,51.6,4.8,24,2417,221,undefined,undefined,3.1,1.46,
28,h,Clear,BAL,2019-05-01,1,65,0,Stevie Wilkerson,L,Strikeout,strikeout,0,1,B,SL,83.6,77.3,22.65,-27.77,3.21,2.91,-1.89,2.21,0.01,-121.81,-3.39,189.05,179.1,-2.31,50,6.01,4.85,9.6,7.2,24,undefined,129,undefined,undefined,3.1,1.41,
28,h,Clear,BAL,2019-05-01,2,65,0,Stevie Wilkerson,L,Strikeout,strikeout,1,1,S,FF,97,88.8,31.51,-11.89,-8.37,10.07,0.2,2.49,8.15,-140.94,-7.62,109.52,171.44,-1.64,50,6,-16.86,48,3.6,24,2391,218,undefined,undefined,3.38,1.66,
28,h,Clear,BAL,2019-05-01,3,65,0,Stevie Wilkerson,L,Strikeout,strikeout,1,2,C,FF,98.7,90.4,31.99,-10.67,-8.39,10.32,0.45,1.93,8.81,-143.2,-9.4,99.68,186.61,-1.57,50,5.92,-17.49,50.4,3.6,24,2378,218,undefined,undefined,3.17,1.48,
28,h,Clear,BAL,2019-05-01,4,66,1,Austin Wynns,R,Flyout,field_out,0,0,F,FF,98,90,31.11,-10.73,-6.78,10.37,-0.42,2.63,5.67,-142.52,-7.45,132.86,167.77,-1.55,50,5.95,-14.01,45.6,3.6,24,2424,212,undefined,undefined,3.38,1.66,
28,h,Clear,BAL,2019-05-01,5,66,1,Austin Wynns,R,Flyout,field_out,0,1,X,FF,98.5,90.5,31.31,-13.47,-7.32,8.94,-0.86,3.18,5.17,-143.34,-5.62,149.87,152.91,-1.73,50,6,-15.32,44.4,3.6,24,2411,218,undefined,undefined,3.38,1.66,
28,h,Clear,BAL,2019-05-01,6,67,2,Jonathan Villar,L,Flyout,field_out,0,0,B,FF,97.7,89.4,31.99,-9.96,-7.79,10.93,0.6,0.88,8.31,-141.58,-12.22,94.29,215.08,-1.36,50,5.88,-15.84,48,3.6,24,2385,215,undefined,undefined,3.38,1.67,
28,h,Clear,BAL,2019-05-01,7,67,2,Jonathan Villar,L,Flyout,field_out,1,0,C,FF,97.5,89.4,31.12,-12.94,-8.38,9.44,0.85,2.23,10.17,-141.55,-8.07,84.63,178.59,-1.69,50,5.94,-17.07,45.6,3.6,24,2407,219,undefined,undefined,3.34,1.65,
28,h,Clear,BAL,2019-05-01,8,67,2,Jonathan Villar,L,Flyout,field_out,1,1,B,SL,85.6,79.4,23.81,-30.41,2.43,1.12,0.82,1.21,5.84,-124.53,-5.74,85.8,206,-1.87,50,6.05,3.84,8.4,8.4,24,undefined,100,undefined,undefined,3.28,1.6,
28,h,Clear,BAL,2019-05-01,9,67,2,Jonathan Villar,L,Flyout,field_out,2,1,X,FF,95.4,87.6,29.77,-12.56,-6.35,10.03,0.43,2.1,8.18,-138.63,-8.31,100.68,182.2,-1.73,50,5.96,-12.41,37.2,3.6,24,2302,210,undefined,undefined,3.36,1.54,
28,h,Clear,BAL,2019-05-01,10,71,3,Rio Ruiz,L,Strikeout,strikeout,0,0,B,FF,96.8,88.7,30.78,-9.96,-7.01,11.08,0.54,1.54,9.01,-140.43,-10.16,96.54,197.24,-1.8,50,5.84,-14.06,44.4,3.6,24,2388,210,undefined,undefined,3.39,1.53,
28,h,Clear,BAL,2019-05-01,11,71,3,Rio Ruiz,L,Strikeout,strikeout,1,0,C,FF,95.5,88.1,29.07,-14.15,-8,9.16,-0.45,1.49,6.62,-138.88,-9.46,133.95,198.56,-1.81,50,5.87,-15.73,42,4.8,24,2323,221,undefined,undefined,3.4,1.51,
28,h,Clear,BAL,2019-05-01,12,71,3,Rio Ruiz,L,Strikeout,strikeout,1,1,C,FF,97.1,89.5,29.97,-10.15,-4.61,10.83,-0.65,1.56,4.87,-141.19,-10.16,141.61,196.82,-1.79,50,5.84,-9.37,34.8,2.4,24,2336,202,undefined,undefined,3.46,1.6,
28,h,Clear,BAL,2019-05-01,13,71,3,Rio Ruiz,L,Strikeout,strikeout,1,2,W,SL,89.5,83.4,24.8,-28.42,2.57,2.18,1.95,0.4,8.48,-130,-8.49,42.82,227.86,-1.68,50,5.84,4.45,10.8,7.2,24,undefined,111,undefined,undefined,3.46,1.62,
28,h,Clear,BAL,2019-05-01,14,72,4,Dwight Smith Jr,L,Single,single,0,0,F,FF,95.6,88.3,27.66,-13.55,-5.24,9.4,0.32,3.31,7.62,-139.05,-5.1,104.85,149.37,-1.76,50,6.05,-10.38,31.2,3.6,24,2189,206,undefined,undefined,3.57,1.64,
28,h,Clear,BAL,2019-05-01,15,72,4,Dwight Smith Jr,L,Single,single,0,1,B,SL,86.3,80.7,21.66,-30.72,2.3,0.9,2.09,2.48,9.15,-125.52,-3.07,37.46,171.74,-1.88,50,6.18,3.73,9.6,8.4,24,undefined,102,undefined,undefined,3.54,1.6,
28,h,Clear,BAL,2019-05-01,16,72,4,Dwight Smith Jr,L,Single,single,1,1,D,FF,96.2,88.8,28.15,-12.86,-4.7,9.62,0.25,3.09,7.63,-139.94,-5.47,107.54,155.6,-1.89,50,5.89,-9.43,30,3.6,24,2132,203,undefined,undefined,3.52,1.65,
28,h,Clear,BAL,2019-05-01,17,73,5,Renato Nunez,R,Lineout,field_out,0,0,B,FF,96,88.6,28.76,-13.63,-7.27,9.34,-0.8,1.18,5.18,-139.41,-11.02,147.57,206.83,-1.73,50,6.07,-14.43,40.8,4.8,24,2171,219,undefined,undefined,3.47,1.58,
28,h,Clear,BAL,2019-05-01,18,73,5,Renato Nunez,R,Lineout,field_out,1,0,B,FT,94.6,86.9,29.01,-17.17,-8.14,7.76,-1.35,3.72,3.88,-137.78,-3.39,168.35,138.29,-1.71,50,6.12,-15.73,39.6,4.8,24,2086,225,undefined,undefined,3.52,1.62,
28,h,Clear,BAL,2019-05-01,19,73,5,Renato Nunez,R,Lineout,field_out,2,0,C,FF,97.6,89.9,29.99,-11.99,-5.41,9.83,0.43,2.01,7.47,-141.86,-8.71,100.47,184.57,-1.52,50,5.87,-11.12,34.8,3.6,24,2307,207,undefined,undefined,3.52,1.69,
28,h,Clear,BAL,2019-05-01,20,73,5,Renato Nunez,R,Lineout,field_out,2,1,F,FF,95.9,88.3,29.5,-14.21,-5.84,9.08,0.96,1.9,8.72,-139.33,-8.5,80.46,187.36,-1.44,50,5.92,-11.55,31.2,3.6,24,2130,210,undefined,undefined,3.52,1.65,
28,h,Clear,BAL,2019-05-01,21,73,5,Renato Nunez,R,Lineout,field_out,2,1,F,FF,98.5,91,29.48,-12.49,-4.2,9.36,1.16,3.29,9.43,-143.28,-5.27,72.6,149.95,-1.6,50,5.92,-8.84,27.6,2.4,24,2180,200,undefined,undefined,3.52,1.65,
28,h,Clear,BAL,2019-05-01,22,73,5,Renato Nunez,R,Lineout,field_out,2,2,B,SL,77.3,71.2,18.77,-30.65,3.33,1.18,-1.7,5.59,-0.5,-112.52,5.21,181.68,87.79,-1.91,50,6.34,4.31,8.4,9.6,24,2095,121,undefined,undefined,3.46,1.58,
28,h,Clear,BAL,2019-05-01,23,73,5,Renato Nunez,R,Lineout,field_out,3,2,X,FF,94.8,87.2,28.94,-13.84,-6.61,9.44,0.15,2.93,7.75,-138.04,-5.67,111.12,159.77,-1.82,50,5.93,-12.83,37.2,3.6,24,2072,212,undefined,undefined,3.49,1.6,
28,h,Clear,BAL,2019-05-01,24,74,6,Chris Davis,L,Groundout,field_out,0,0,C,FF,97,88.9,31.26,-13.81,-8.4,9.13,0.78,1.58,9.48,-140.8,-9.9,87.31,195.98,-1.54,50,6.03,-16.91,43.2,4.8,24,2241,222,undefined,undefined,3.73,1.58,
28,h,Clear,BAL,2019-05-01,25,74,6,Chris Davis,L,Groundout,field_out,0,1,X,FF,95.9,88.1,30.18,-14.62,-6.96,8.91,-0.3,1.41,6.47,-139.27,-9.85,128.59,200.65,-1.75,50,5.95,-13.73,36,4.8,24,2065,218,undefined,undefined,3.57,1.64,
48,a,Roof Closed,HOU,2019-05-22,0,70,0,Tyler White,R,Strikeout,strikeout,0,0,C,FF,96.2,87.7,32.24,-12.52,-5.3,9.95,-0.22,2.92,6.72,-139.83,-6.66,125.34,160.03,-1.97,50,6.16,-10.46,32.4,3.6,24,2340,205,0.39,6.26,2.85,1.3,
48,a,Roof Closed,HOU,2019-05-22,1,70,0,Tyler White,R,Strikeout,strikeout,0,1,B,FF,98.2,89.5,33.99,-12.03,-4.79,9.83,1.04,1.95,9.29,-142.55,-9.15,77.3,186.14,-1.65,50,5.97,-9.81,28.8,3.6,24,2436,202,0.38,6.76,3.03,1.39,
48,a,Roof Closed,HOU,2019-05-22,2,70,0,Tyler White,R,Strikeout,strikeout,1,1,B,SL,82.7,76.6,23.28,-33.05,4.06,-0.6,-0.31,1.19,2.52,-120.4,-4.82,128.69,206.82,-1.89,50,6.14,5.96,10.8,9.6,24,2455,76,0.45,6.36,3.02,1.43,
