gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
103,h,Partly Cloudy,MIN,2019-07-28,0,71,0,Ehire Adrianza,R,Groundout,field_out,0,0,B,CH,84.2,78.6,19,-20.18,4.96,7.74,-0.94,2.86,-7.51,-122.35,-3.58,152.91,161.48,1.49,50,6.03,7.69,18,6,24,1848,150,0.45,5.04,3.17,1.62,
103,h,Partly Cloudy,MIN,2019-07-28,1,71,0,Ehire Adrianza,R,Groundout,field_out,1,0,B,CH,84.7,78.8,20.2,-21.03,5.79,7.13,-1.03,2.65,-8.07,-123.11,-3.65,156.19,167.35,1.51,50,5.89,9.05,20.4,6,24,1977,144,0.45,5.32,3.22,1.61,
103,h,Partly Cloudy,MIN,2019-07-28,2,71,0,Ehire Adrianza,R,Groundout,field_out,2,0,C,CH,84.4,78.7,19.69,-21.63,5.52,6.79,-0.77,2.13,-7.45,-122.62,-4.64,146.24,181.23,1.57,50,5.85,8.57,18,6,24,2093,143,0.45,5.26,3.15,1.61,
103,h,Partly Cloudy,MIN,2019-07-28,3,71,0,Ehire Adrianza,R,Groundout,field_out,2,1,X,CH,78.2,73.1,17.24,-23.54,6.59,6.47,-0.45,1.76,-6.61,-113.78,-3.9,134.08,191.15,1.61,50,5.78,8.81,18,7.2,24,1562,136,0.48,5.83,3.07,1.49,
103,h,Partly Cloudy,MIN,2019-07-28,4,72,1,Marwin Gonzalez,R,Flyout,field_out,0,0,S,CH,77.9,72.6,17.23,-23.99,9.59,6.19,0.4,1.88,-5.88,-113.27,-3.28,101.87,187.94,1.76,50,5.7,12.68,26.4,8.4,24,1677,123,0.49,5.19,3.88,1.84,
103,h,Partly Cloudy,MIN,2019-07-28,5,72,1,Marwin Gonzalez,R,Flyout,field_out,0,1,X,CH,79.8,73.8,19.39,-24.83,9.79,5.33,0.46,2.94,-5.65,-115.94,-1.26,99.53,159.56,1.64,50,5.83,13.47,26.4,8.4,24,1755,120,0.48,5.28,3.73,1.84,
103,h,Partly Cloudy,MIN,2019-07-28,6,73,2,Jonathan Schoop,R,Flyout,field_out,0,0,B,CH,77.3,72.2,16.95,-25.53,9.45,5.12,-0.68,0.84,-7.95,-112.19,-5.11,142.93,215.96,1.65,50,5.7,12.26,22.8,8.4,24,1978,119,0.5,5.08,3.68,1.85,
103,h,Partly Cloudy,MIN,2019-07-28,7,73,2,Jonathan Schoop,R,Flyout,field_out,1,0,F,FF,86.8,80.6,21.56,-19.66,5.48,7.62,0.69,3.32,-4.31,-126.29,-2.66,90.86,149.24,1.69,50,5.94,9,22.8,4.8,24,1958,146,0.44,5.24,3.62,1.85,
103,h,Partly Cloudy,MIN,2019-07-28,8,73,2,Jonathan Schoop,R,Flyout,field_out,1,1,F,CH,87.5,80.8,23.4,-20.21,7.53,7.22,0.93,3.34,-4.24,-127.24,-2.63,81.5,148.61,1.63,50,5.97,12.47,30,6,24,1921,135,0.44,5.07,3.67,1.81,
103,h,Partly Cloudy,MIN,2019-07-28,9,73,2,Jonathan Schoop,R,Flyout,field_out,1,2,B,FF,89.4,82.4,24.74,-17.08,6.74,8.74,1.49,3.42,-2.43,-129.94,-3.79,60.04,146.42,1.56,50,6.18,11.64,32.4,4.8,24,2110,142,0.43,4.92,3.71,1.79,
103,h,Partly Cloudy,MIN,2019-07-28,10,73,2,Jonathan Schoop,R,Flyout,field_out,2,2,B,CH,80.1,74.4,18.66,-23.77,9.16,6.01,2.1,3.09,-2.26,-116.56,-1.26,37.06,155.45,1.88,50,5.85,12.8,27.6,8.4,24,1816,124,0.48,5.26,3.69,1.86,
103,h,Partly Cloudy,MIN,2019-07-28,11,73,2,Jonathan Schoop,R,Flyout,field_out,3,2,X,FF,87.9,81.3,23.14,-18.92,5.16,7.91,-0.04,2.74,-5.95,-127.8,-4.18,118.61,164.84,1.63,50,5.86,8.65,21.6,4.8,24,2036,149,0.44,4.98,3.73,1.81,
