gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
1,a,Cloudy,KC,2019-03-28,0,44,0,Chris Owings,R,Walk,walk,0,0,C,FT,95.3,87.6,29.35,-17.39,-9.08,7.57,0.22,1.95,7.75,-138.47,-7.47,108.71,186.05,-1.43,50,5.84,-17.72,40.8,4.8,24,2432,230,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,1,44,0,Chris Owings,R,Walk,walk,0,1,*B,SL,86.8,80.4,23.5,-27.9,-0.09,2.64,1.77,1.52,7.93,-125.97,-5.28,49.58,197.62,-1.4,50,5.88,-0.14,2.4,7.2,24,2421,159,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,2,44,0,Chris Owings,R,Walk,walk,1,1,*B,SL,85.9,80.4,21.12,-28.07,-0.01,2.56,1.3,0.36,7.07,-124.68,-7.67,67.63,229.11,-1.55,50,5.74,-0.02,2.4,7.2,24,2273,158,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,3,44,0,Chris Owings,R,Walk,walk,2,1,F,FT,95.2,87.1,30.27,-13.87,-6.11,9.43,0.19,2.44,6.24,-138.27,-7,109.87,173.01,-1.3,50,5.93,-11.86,34.8,3.6,24,2455,211,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,4,44,0,Chris Owings,R,Walk,walk,2,2,*B,FT,96,88.3,29.37,-11.43,-8.17,10.54,0.68,-0.07,8.22,-139,-13.61,91.22,240.79,-1.25,50,5.63,-16.08,45.6,3.6,24,2500,218,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,5,44,0,Chris Owings,R,Walk,walk,3,2,B,FT,95.4,87.8,28.01,-13.69,-7.35,9.46,1.79,2.02,10.88,-138.28,-8.03,48.64,184.27,-1.22,50,5.86,-14.36,38.4,3.6,24,2541,215,undefined,undefined,3.3,1.5,
1,a,Cloudy,KC,2019-03-28,6,45,1,Hunter Dozier,R,Strikeout,strikeout,0,0,*B,FT,95.1,87.6,28.52,-13.7,-8.85,9.54,0.74,0.31,9.23,-137.78,-12.06,88.71,230.55,-1.49,50,5.64,-17.14,43.2,4.8,24,2472,223,undefined,undefined,3.55,1.63,
1,a,Cloudy,KC,2019-03-28,7,45,1,Hunter Dozier,R,Strikeout,strikeout,1,0,C,FT,94.9,87.8,27.1,-18.05,-8.42,7.25,0.32,1.84,7.73,-137.87,-7.51,104.76,189.22,-1.41,50,5.79,-16.4,37.2,4.8,24,2450,229,undefined,undefined,3.55,1.63,
1,a,Cloudy,KC,2019-03-28,8,45,1,Hunter Dozier,R,Strikeout,strikeout,1,1,B,FT,95.7,88,28.69,-17.61,-7.44,7.35,-0.46,4.53,5.59,-139.27,-1.03,134.64,116.58,-1.52,50,6.05,-14.74,37.2,4.8,24,2408,222,undefined,undefined,3.55,1.63,
1,a,Cloudy,KC,2019-03-28,9,45,1,Hunter Dozier,R,Strikeout,strikeout,2,1,S,FT,94.5,87.4,26.39,-15.96,-7,8.35,-0.13,3.59,6.18,-137.48,-3.61,121.85,141.86,-1.48,50,5.98,-13.59,37.2,4.8,24,2437,218,undefined,undefined,3.55,1.63,
1,a,Cloudy,KC,2019-03-28,10,45,1,Hunter Dozier,R,Strikeout,strikeout,2,2,C,FT,95.5,88.4,27.09,-14.17,-8.35,9.11,0.13,1.82,7,-138.77,-8.27,112.13,189.56,-1.33,50,5.76,-16.51,44.4,4.8,24,2382,222,undefined,undefined,3.55,1.63,
1,a,Cloudy,KC,2019-03-28,11,46,2,Martin Maldonado,R,Groundout,field_out,0,0,X,FT,95.3,88.2,27,-17.4,-8.36,7.5,0.42,2.21,8.07,-138.5,-6.81,100.8,179.26,-1.42,50,5.83,-16.46,38.4,4.8,24,2356,227,undefined,undefined,3.37,1.53,
2,a,Cloudy,KC,2019-03-30,0,51,0,Whit Merrifield,R,Single,single,0,0,B,CH,92.9,86.8,23.31,-17.93,-7.17,7.6,1.57,0.31,10.68,-134.6,-11.49,57.06,230.45,-1.48,50,5.84,-13.44,31.2,4.8,24,2107,222,undefined,undefined,3.3,1.54,
2,a,Cloudy,KC,2019-03-30,1,51,0,Whit Merrifield,R,Single,single,1,0,C,FT,93.6,86.4,26.6,-20,-7.1,6.42,0.66,3.07,8.09,-136.02,-4.32,91.91,155.93,-1.41,50,6.04,-13.45,30,4.8,24,2224,225,undefined,undefined,3.36,1.53,
2,a,Cloudy,KC,2019-03-30,2,51,0,Whit Merrifield,R,Single,single,1,1,B,FT,94.4,86.6,28.94,-14.57,-9.92,9.25,1.27,1.57,10.71,-136.83,-9,68.42,196.4,-1.39,50,5.89,-18.9,45.6,4.8,24,2060,226,undefined,undefined,3.33,1.53,
2,a,Cloudy,KC,2019-03-30,3,51,0,Whit Merrifield,R,Single,single,2,1,E,FT,93.6,84.8,32.32,-15.51,-9.52,9.04,0.59,1.34,8.5,-135.59,-9.08,94.6,202.5,-1.37,50,5.84,-17.56,42,4.8,24,2133,226,undefined,undefined,3.37,1.53,
