gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
96,a,Dome,TB,2019-07-21,0,60,0,Tommy Pham,R,Groundout,field_out,0,0,B,SI,96,87.9,31.5,-22.95,-10.35,4.67,-1.4,3.36,6.56,-139.74,-4.01,170.27,147.97,-2.43,50,6.33,-20.46,38.4,6,24,2074,245,0.39,6.45,3.28,1.52,
96,a,Dome,TB,2019-07-21,1,60,0,Tommy Pham,R,Groundout,field_out,1,0,C,SI,95.9,88.2,29.83,-20.82,-9.9,5.74,0.21,2.69,10.1,-139.39,-5.96,108.93,166.19,-2.16,50,6.22,-19.58,38.4,6,24,2121,239,0.39,6.65,3.12,1.36,
96,a,Dome,TB,2019-07-21,2,60,0,Tommy Pham,R,Groundout,field_out,1,1,B,SI,96.9,88.8,31.45,-24,-9.73,4.05,-1.34,3.85,6.2,-141.08,-2.61,168.09,134.79,-2.3,50,6.33,-19.64,37.2,6,24,2108,246,0.38,6.79,3.22,1.55,
96,a,Dome,TB,2019-07-21,3,60,0,Tommy Pham,R,Groundout,field_out,2,1,B,SI,96.5,89.1,28.96,-23.38,-9.73,4.39,0.9,1.61,12.27,-139.96,-8.4,82.6,195.39,-2.26,50,6.16,-19.46,34.8,6,24,2079,246,0.39,6.97,3.31,1.61,
96,a,Dome,TB,2019-07-21,4,60,0,Tommy Pham,R,Groundout,field_out,3,1,C,SI,96.6,88.8,30.75,-23.42,-9.77,4.37,0.19,2.08,10,-140.34,-7.2,109.71,182.59,-2.14,50,6.2,-19.56,34.8,6,24,2033,246,0.39,6.94,3.28,1.52,
96,a,Dome,TB,2019-07-21,5,60,0,Tommy Pham,R,Groundout,field_out,3,1,F,SI,97.5,89.6,31.4,-17.66,-9.71,7.11,-0.87,2.19,7.21,-141.8,-8.15,150.3,179.52,-2.18,50,6.22,-19.83,43.2,4.8,24,2165,234,0.38,6.91,3.29,1.59,
96,a,Dome,TB,2019-07-21,6,60,0,Tommy Pham,R,Groundout,field_out,3,2,X,SI,97.8,89.4,32.73,-19.98,-10.37,5.97,-0.28,2.53,9.18,-142.07,-6.64,127.52,170.51,-2.2,50,6.17,-21.18,42,6,24,2101,240,0.38,6.83,3.29,1.59,
98,h,Clear,MIA,2019-07-23,0,52,0,Harold Ramirez,R,Field Error,field_error,0,0,C,SI,94.9,88.7,24.1,-22.38,-8.78,4.96,-0.47,2.42,8.98,-138.04,-6.13,134.84,173.35,-2.59,50,6.13,-17.33,33.6,6,24,2035,240,0.39,6.54,2.72,1.2,
98,h,Clear,MIA,2019-07-23,1,52,0,Harold Ramirez,R,Field Error,field_error,0,1,D,SI,95.8,89.4,25.46,-22.49,-8.48,4.84,-0.33,1.26,9.69,-139.2,-8.72,129.53,204.63,-2.72,50,5.88,-16.97,32.4,6,24,2026,241,0.39,6.52,3.03,1.4,
98,h,Clear,MIA,2019-07-23,2,53,1,Brian Anderson,R,Grounded Into DP,grounded_into_double_play,0,0,F,SI,97,89.6,29.05,-20.28,-10.84,5.85,-0.96,2.28,8.96,-141.02,-6.76,153.71,177.31,-2.76,50,5.99,-22.04,43.2,6,24,2116,242,0.38,6.79,3.23,1.58,
98,h,Clear,MIA,2019-07-23,3,53,1,Brian Anderson,R,Grounded Into DP,grounded_into_double_play,0,1,X,SI,96.5,89.6,27.11,-20.86,-10.12,5.58,-1,2.33,8.46,-140.35,-6.49,155.12,175.92,-2.72,50,6,-20.49,40.8,6,24,2105,241,0.39,6.58,3.39,1.62,
98,h,Clear,MIA,2019-07-23,4,54,2,Garrett Cooper,R,Strikeout,strikeout,0,0,C,SI,98.5,91.3,28.54,-20.48,-9.33,5.55,-0.07,2.87,10.29,-143.21,-5.87,119.66,161.28,-2.47,50,6.2,-19.65,39.6,4.8,24,2155,238,0.38,6.56,3.62,1.75,
98,h,Clear,MIA,2019-07-23,5,54,2,Garrett Cooper,R,Strikeout,strikeout,0,1,F,SI,99.5,92.1,29.75,-20.43,-9.77,5.48,0.22,1.91,11.22,-144.51,-8.13,108.45,187.37,-2.42,50,5.98,-20.91,40.8,6,24,2110,241,0.37,6.7,3.62,1.75,
98,h,Clear,MIA,2019-07-23,6,54,2,Garrett Cooper,R,Strikeout,strikeout,0,2,S,FF,97.6,90.8,27.22,-18.97,-1.81,6.34,0.38,4.04,8.71,-142.18,-2.89,102.54,129.71,-2.46,50,6.25,-3.77,6,3.6,24,2172,189,0.38,6.79,3.54,1.75,
100,h,Clear,MIN,2019-07-25,0,44,0,Luis Arraez,L,Double,double,0,0,C,SI,93.9,87,26.38,-22.31,-8.56,5.16,-0.92,2.53,8.5,-136.54,-5.23,152.12,170.59,-2.94,50,5.97,-16.38,32.4,6,24,1930,238,0.4,6.52,3.05,1.44,
100,h,Clear,MIN,2019-07-25,1,44,0,Luis Arraez,L,Double,double,0,1,B,SI,96.1,88.7,28.35,-20.98,-8.15,5.59,-0.96,3.54,7.99,-139.89,-3.35,153.44,143.14,-2.78,50,6.11,-16.32,34.8,4.8,24,2095,233,0.39,6.45,3.01,1.44,
100,h,Clear,MIN,2019-07-25,2,44,0,Luis Arraez,L,Double,double,1,1,D,SI,96.3,88.7,29.72,-21.62,-8.52,5.28,-1,2.53,8.24,-140.05,-5.5,155.28,170.47,-2.87,50,5.92,-17.04,33.6,6,24,1998,237,0.39,6.64,3.04,1.44,
100,h,Clear,MIN,2019-07-25,3,45,1,Miguel Sano,R,Home Run,home_run,0,0,S,SI,98.3,90.8,30.77,-25.03,-9.66,3.42,-0.83,1.71,8.85,-143.01,-7.43,148.5,192.55,-2.69,50,5.9,-20.14,34.8,6,24,2168,252,0.38,6.92,3.47,1.74,
100,h,Clear,MIN,2019-07-25,4,45,1,Miguel Sano,R,Home Run,home_run,0,1,E,FF,97.7,89.9,30.33,-14.54,-6.92,8.54,-0.7,3.28,8.13,-142.25,-5.1,143.66,150.11,-2.68,50,6.01,-14.28,38.4,3.6,24,2055,216,0.38,6.86,3.56,1.74,
100,h,Clear,MIN,2019-07-25,5,46,2,Jonathan Schoop,R,Groundout,field_out,0,0,X,SI,98.2,90.5,30.61,-21.79,-10.28,4.99,-0.82,2.63,9.03,-142.83,-5.74,148.21,167.91,-2.67,50,6.02,-21.4,40.8,6,24,2050,244,0.38,7.06,3.54,1.6,
100,h,Clear,MIN,2019-07-25,6,47,3,Byron Buxton,R,Double,double,0,0,B,SI,97.8,90.1,31.52,-23.01,-10.38,4.46,-1.44,1.13,7.43,-142.2,-9.16,171.81,208.36,-2.73,50,5.84,-21.33,38.4,6,24,2298,249,0.38,6.83,3.24,1.6,
100,h,Clear,MIN,2019-07-25,7,47,3,Byron Buxton,R,Double,double,1,0,D,FF,97.5,89.7,30.4,-15.07,-5.67,8.33,-0.49,3.24,8.25,-141.91,-5.16,135.76,151.2,-2.69,50,6.04,-11.63,31.2,3.6,24,2164,211,0.38,6.74,3.33,1.6,
100,h,Clear,MIN,2019-07-25,8,48,4,Max Kepler,L,Groundout,field_out,0,0,B,SI,98.4,90.4,32.22,-21.82,-10.37,4.98,-0.82,1.52,8.8,-143.04,-8.4,148.27,197.85,-2.59,50,5.85,-21.55,39.6,6,24,2182,246,0.38,6.84,3.28,1.64,
100,h,Clear,MIN,2019-07-25,9,48,4,Max Kepler,L,Groundout,field_out,1,0,C,CH,88.6,81.9,24.36,-20.21,-7.39,7.06,0.08,2.33,9.54,-128.81,-5.26,114.04,175.92,-2.7,50,5.94,-12.53,27.6,6,24,1728,223,0.42,7.07,3.21,1.64,
100,h,Clear,MIN,2019-07-25,10,48,4,Max Kepler,L,Groundout,field_out,1,1,X,SI,96.7,89.2,29.71,-23.13,-8.78,4.48,-0.7,1.87,8.71,-140.63,-6.96,143.79,187.31,-2.68,50,5.86,-17.71,33.6,6,24,2108,243,0.38,6.89,3.32,1.64,
100,h,Clear,MIN,2019-07-25,11,49,5,Jorge Polanco,L,Single,single,0,0,F,SI,99.1,91.1,31.84,-24.75,-9.71,3.51,-0.97,3.03,8.84,-144.19,-4.14,154.17,156.89,-2.81,50,6,-20.55,36,6,24,2183,250,0.38,6.91,3.39,1.64,
100,h,Clear,MIN,2019-07-25,12,49,5,Jorge Polanco,L,Single,single,0,1,B,FF,97.6,90.9,27.42,-16.58,-1.5,7.52,1.27,2.11,11.01,-141.9,-7.92,68.39,181.71,-2.43,50,5.97,-3.12,3.6,3.6,24,2165,183,0.38,7.02,3.3,1.64,
100,h,Clear,MIN,2019-07-25,13,49,5,Jorge Polanco,L,Single,single,1,1,S,CH,89.4,83.2,23.86,-27.71,-7.47,2.58,0.42,1.36,10.14,-129.92,-6.24,100.96,202.23,-2.54,50,5.86,-12.94,21.6,7.2,24,1508,252,0.42,6.91,3.29,1.64,
100,h,Clear,MIN,2019-07-25,14,49,5,Jorge Polanco,L,Single,single,1,1,F,SI,99.2,91.9,29.05,-22.06,-9,4.74,-0.46,2.46,10.11,-144.19,-6.18,134.7,172.27,-2.82,50,5.97,-19.23,36,6,24,2041,242,0.37,6.85,3.39,1.64,
100,h,Clear,MIN,2019-07-25,15,49,5,Jorge Polanco,L,Single,single,1,2,E,SL,81.4,76.4,19.03,-37.88,2.02,-3.93,-0.5,2.39,4.7,-118.67,-0.61,136.02,174.37,-2.75,50,6.05,2.93,4.8,10.8,24,2086,33,0.46,6.68,3.29,1.73,
100,h,Clear,MIN,2019-07-25,16,50,6,Nelson Cruz,R,Strikeout,strikeout,0,0,C,SL,84.9,79,22.38,-35.93,1.44,-2.41,0.14,2.27,6.53,-123.61,-1.84,111.62,177.68,-2.71,50,6.01,2.25,4.8,9.6,24,2355,41,0.44,6.44,3.72,1.73,
100,h,Clear,MIN,2019-07-25,17,50,6,Nelson Cruz,R,Strikeout,strikeout,0,1,S,SI,100,92.9,29.3,-26.77,-10.13,2.49,-0.79,1.47,9.64,-145.39,-7.78,146.99,199.07,-2.81,50,5.77,-22,36,6,24,2183,258,0.37,7.01,3.62,1.73,
100,h,Clear,MIN,2019-07-25,18,50,6,Nelson Cruz,R,Strikeout,strikeout,0,2,B,FF,100.2,92.2,31.73,-20.65,-3.7,5.32,0.45,3.95,10.39,-145.72,-2.59,99.86,132.07,-2.67,50,6.09,-8.01,15.6,3.6,24,2019,207,0.37,6.86,3.51,1.73,
100,h,Clear,MIN,2019-07-25,19,50,6,Nelson Cruz,R,Strikeout,strikeout,1,2,S,CH,87.3,80.7,24.11,-21.44,-7.79,6.53,0.14,1.59,9.72,-126.93,-6.36,111.62,195.92,-2.71,50,5.81,-12.82,26.4,6,24,1764,228,0.42,7.4,3.5,1.51,
100,h,Clear,MIN,2019-07-25,20,56,7,Eddie Rosario,L,Strikeout,strikeout,0,0,C,SI,97.9,90.4,29.58,-19.7,-8.11,6.01,-0.9,2.62,8.35,-142.44,-5.82,151.27,167.96,-2.8,50,5.92,-16.82,36,4.8,24,2057,232,0.38,6.88,3.1,1.57,
100,h,Clear,MIN,2019-07-25,21,56,7,Eddie Rosario,L,Strikeout,strikeout,0,1,S,FF,96.7,89.1,29.98,-17.16,-3.74,7.43,0.02,3.35,9.16,-140.78,-4.4,116.33,148.4,-2.78,50,6.03,-7.55,16.8,3.6,24,2084,201,0.38,6.94,3.02,1.57,
100,h,Clear,MIN,2019-07-25,22,56,7,Eddie Rosario,L,Strikeout,strikeout,0,2,S,SL,85.6,80.2,21.04,-38.87,3.22,-4.18,-0.49,2.59,4.64,-124.71,-0.66,135.84,168.89,-2.78,50,6.02,5.16,8.4,9.6,24,2356,41,0.44,6.37,3.02,1.57,
100,h,Clear,MIN,2019-07-25,23,57,8,Mitch Garver,R,Groundout,field_out,0,0,B,SI,98.4,91.1,28.85,-21.03,-8.35,5.29,-1.05,3.35,7.7,-143.28,-3.94,157,148.21,-2.67,50,6.04,-17.6,36,4.8,24,2123,236,0.38,6.53,3.32,1.59,
100,h,Clear,MIN,2019-07-25,24,57,8,Mitch Garver,R,Groundout,field_out,1,0,B,SI,97.3,90.1,27.98,-21.7,-9.8,5.13,1.24,1.47,13.98,-141.02,-8.24,69.93,198.96,-2.48,50,5.8,-19.99,37.2,6,24,2004,242,0.39,6.48,3.26,1.59,
100,h,Clear,MIN,2019-07-25,25,57,8,Mitch Garver,R,Groundout,field_out,2,0,X,SI,98.2,90.9,28.81,-19.67,-10.46,6.01,0.48,1.76,12.5,-142.49,-8.21,98.66,191.26,-2.58,50,5.9,-21.78,42,6,24,2003,240,0.38,6.71,3.4,1.59,
100,h,Clear,MIN,2019-07-25,26,58,9,Luis Arraez,L,Groundout,field_out,0,0,B,CH,89.2,82.5,25.36,-21.37,-8.02,6.27,-1.67,1.6,5.83,-129.95,-6.82,180.5,195.56,-2.89,50,5.86,-13.82,28.8,6,24,1698,232,0.41,7.2,2.98,1.44,
100,h,Clear,MIN,2019-07-25,27,58,9,Luis Arraez,L,Groundout,field_out,1,0,X,SI,97.2,89.9,28.49,-21.55,-9.67,5.19,-0.12,2.47,10.7,-141.27,-5.72,121.54,172.06,-2.68,50,5.89,-19.78,38.4,6,24,2119,241,0.38,6.54,3.04,1.44,
103,h,Partly Cloudy,MIN,2019-07-28,0,5,0,Marwin Gonzalez,L,Flyout,field_out,0,0,B,SL,80,75.5,18.36,-38.19,0.37,-4.31,0.4,0.45,6.98,-116.4,-4.79,101.66,226.66,-2.66,50,6.08,0.52,2.4,10.8,24,2246,13,0.47,6.25,3.54,1.66,
103,h,Partly Cloudy,MIN,2019-07-28,1,5,0,Marwin Gonzalez,L,Flyout,field_out,1,0,F,CH,85.9,80.6,19.85,-27.47,-5.42,2.9,-0.41,2.29,7.76,-125.17,-3.96,132.77,176.98,-2.82,50,6.08,-8.8,15.6,7.2,24,1660,240,0.43,6.78,3.51,1.7,
103,h,Partly Cloudy,MIN,2019-07-28,2,5,0,Marwin Gonzalez,L,Flyout,field_out,1,1,B,FF,94.1,88,23.57,-16.68,-1.8,7.97,0.93,3.67,10.08,-136.96,-3.95,81.57,139.81,-2.53,50,6.23,-3.5,6,3.6,24,2236,186,0.39,6.78,3.52,1.81,
103,h,Partly Cloudy,MIN,2019-07-28,3,5,0,Marwin Gonzalez,L,Flyout,field_out,2,1,B,FF,94.6,87.6,26.7,-17.09,-2.46,7.76,0.87,3.63,9.76,-137.64,-3.67,83.65,140.88,-2.38,50,6.12,-4.79,9.6,3.6,24,2177,191,0.39,6.9,3.53,1.81,
103,h,Partly Cloudy,MIN,2019-07-28,4,5,0,Marwin Gonzalez,L,Flyout,field_out,3,1,X,SI,94,86.7,27.63,-21.46,-8.17,5.61,-0.41,2.75,9.17,-136.71,-5.01,132.6,164.46,-2.73,50,6.06,-15.6,31.2,6,24,2087,234,0.4,6.89,3.53,1.71,
103,h,Partly Cloudy,MIN,2019-07-28,5,6,1,Jonathan Schoop,R,Lineout,field_out,0,0,B,SI,96.2,88.9,28.11,-22.6,-6.72,4.76,-0.59,3.8,8.24,-140.08,-2.39,139.6,136.17,-2.68,50,6.12,-13.51,27.6,4.8,24,2096,231,0.39,6.62,3.53,1.76,
103,h,Partly Cloudy,MIN,2019-07-28,6,6,1,Jonathan Schoop,R,Lineout,field_out,1,0,S,FC,88.4,83,20.97,-24.44,-4.18,4.51,0.46,1.57,9.15,-128.65,-6.57,99.61,196.35,-2.57,50,5.99,-7.16,13.2,6,24,1686,219,0.42,7.13,3.59,1.81,
103,h,Partly Cloudy,MIN,2019-07-28,7,6,1,Jonathan Schoop,R,Lineout,field_out,1,1,F,FC,88.9,82.4,24.34,-28.49,0.91,2.15,-0.28,3.06,5.73,-129.46,-2.43,127.79,156.04,-2.64,50,6.17,1.56,4.8,7.2,24,2040,142,0.42,6.64,3.59,1.69,
103,h,Partly Cloudy,MIN,2019-07-28,8,6,1,Jonathan Schoop,R,Lineout,field_out,1,1,F,FF,98.2,90.8,29.54,-18.68,-1.27,6.44,-0.38,3.47,6.59,-143.07,-4.44,131.5,145.21,-2.54,50,6.19,-2.66,3.6,3.6,24,2196,185,0.38,7.03,3.6,1.79,
103,h,Partly Cloudy,MIN,2019-07-28,9,6,1,Jonathan Schoop,R,Lineout,field_out,1,1,F,CH,88.9,82.6,23.66,-24.54,-7.3,4.43,-0.45,2.54,7.62,-129.52,-4.28,134.03,170.29,-2.46,50,6.06,-12.56,24,6,24,1528,237,0.42,7.1,3.53,1.69,
103,h,Partly Cloudy,MIN,2019-07-28,10,6,1,Jonathan Schoop,R,Lineout,field_out,1,2,B,FC,91.4,85.9,22.5,-25.81,0.25,3.47,0.32,1.02,7.21,-133.04,-8.16,104.76,211.23,-2.43,50,5.94,0.47,3.6,6,24,2187,161,0.4,7.08,3.55,1.77,
103,h,Partly Cloudy,MIN,2019-07-28,11,6,1,Jonathan Schoop,R,Lineout,field_out,2,2,X,FF,98,91.2,27.59,-16.61,-0.81,7.44,0.34,1.91,7.85,-142.54,-8.87,104.1,187.35,-2.33,50,6.07,-1.69,1.2,3.6,24,2253,180,0.38,7.01,3.61,1.79,
103,h,Partly Cloudy,MIN,2019-07-28,12,7,2,Jason Castro,L,Walk,walk,0,0,B,SI,96.8,90.1,26.9,-21.26,-6.7,5.34,-1.11,1.89,6.87,-140.9,-7.51,159.15,187.84,-2.69,50,5.92,-13.69,28.8,4.8,24,2065,232,0.38,7.01,3.62,1.88,
103,h,Partly Cloudy,MIN,2019-07-28,13,7,2,Jason Castro,L,Walk,walk,1,0,B,FF,97.3,89.8,29.16,-15.79,-3.09,7.98,-1.02,3.37,5.81,-141.67,-4.67,155.85,147.83,-2.68,50,6.03,-6.35,16.8,3.6,24,2101,198,0.38,6.63,3.44,1.76,
103,h,Partly Cloudy,MIN,2019-07-28,14,7,2,Jason Castro,L,Walk,walk,2,0,B,FF,96.1,90.1,24.41,-18.33,-3.53,6.83,0.99,1.83,10.67,-139.79,-8.31,79.35,189.5,-2.38,50,5.99,-7.15,15.6,3.6,24,2140,202,0.38,7.15,3.67,1.86,
103,h,Partly Cloudy,MIN,2019-07-28,15,7,2,Jason Castro,L,Walk,walk,3,0,C,FF,97.3,90.5,27.69,-19.75,-6.06,6.02,-0.7,2.12,7.38,-141.71,-7.64,143.84,181.44,-2.54,50,6.08,-12.5,27.6,4.8,24,2104,224,0.38,7.09,3.66,1.86,
103,h,Partly Cloudy,MIN,2019-07-28,16,7,2,Jason Castro,L,Walk,walk,3,1,B,FF,96.8,90,26.73,-17.29,-6.43,7.31,0.48,1.57,10.28,-140.56,-9.04,98.81,196.34,-2.37,50,5.91,-13.08,31.2,4.8,24,2052,219,0.38,6.83,3.63,1.83,
103,h,Partly Cloudy,MIN,2019-07-28,17,8,3,Byron Buxton,R,Pop Out,field_out,0,0,C,SI,98.2,90.9,29.54,-22.86,-8.78,4.46,-0.54,1.79,8.7,-142.84,-7.76,137.46,190.41,-2.47,50,5.95,-18.34,34.8,6,24,2096,244,0.38,7.03,3.3,1.66,
103,h,Partly Cloudy,MIN,2019-07-28,18,8,3,Byron Buxton,R,Pop Out,field_out,0,1,F,FC,90.5,84.8,22.26,-27.27,-0.76,2.73,-0.45,2.2,6.36,-131.85,-4.57,133.99,179.56,-2.77,50,5.91,-1.38,1.2,6,24,2098,183,0.41,6.59,3.39,1.65,
103,h,Partly Cloudy,MIN,2019-07-28,19,8,3,Byron Buxton,R,Pop Out,field_out,0,2,X,FF,98.8,91.3,30.17,-18.59,-2.75,6.4,-0.56,3.35,6.35,-143.98,-5.01,138.24,148.38,-2.42,50,6.24,-5.83,13.2,3.6,24,2117,199,0.38,6.84,3.28,1.6,
103,h,Partly Cloudy,MIN,2019-07-28,20,14,4,Max Kepler,L,Strikeout,strikeout,0,0,B,SL,80,74.4,21.01,-37.8,0.04,-4.08,-0.23,1.54,5.86,-116.47,-2.49,125.64,197.19,-2.78,50,6.18,0.05,1.2,10.8,24,2302,10,0.47,6.24,3.36,1.84,
103,h,Partly Cloudy,MIN,2019-07-28,21,14,4,Max Kepler,L,Strikeout,strikeout,1,0,S,CH,86.9,80.3,24.56,-24.84,-7.65,4.53,0.18,1.2,9.3,-126.24,-7.01,110.13,206.25,-2.55,50,6,-12.4,22.8,7.2,24,1729,239,0.43,7.16,3.42,1.83,
