gameNumber,location,weather,opponent,date,pitchNumber,mlbAtBatIndex,realAtBatIndex,batterName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,strikeZoneTop,strikeZoneBottom,
30,h,Cloudy,BOS,2019-05-03,0,71,0,J.D. Martinez,R,Single,single,0,0,B,SL,58.4,54.4,12.08,-26.36,-1.49,8.05,2.12,0.28,6.35,-84.68,-2.53,36.04,231.26,-1.49,50,6.53,-1.07,1.2,14.4,24,1307,181,undefined,undefined,3.56,1.59,
30,h,Cloudy,BOS,2019-05-03,1,72,1,Xander Bogaerts,R,Single,single,0,0,B,SL,50.7,47.8,8.33,-28.84,-3.23,6.04,1,1.8,3.81,-73.6,2.59,79.07,190.28,-1.2,50,6.82,-1.78,2.4,20.4,24,1045,199,undefined,undefined,3.62,1.55,
30,h,Cloudy,BOS,2019-05-03,2,72,1,Xander Bogaerts,R,Single,single,2,0,B,CU,59,54.1,13.53,-23.9,-4.09,11.31,0.35,0.78,3.82,-85.65,-2.39,103.67,217.75,-1.39,50,6.43,-2.99,6,13.2,24,1266,196,undefined,undefined,3.57,1.69,
30,h,Cloudy,BOS,2019-05-03,3,74,2,Michael Chavis,R,Lineout,field_out,0,0,X,SL,53.9,49.4,11.17,-27.56,-5.74,7.6,-0.59,2.28,3.11,-78.06,2.27,139.4,177.21,-1.88,50,6.68,-3.49,6,18,24,1061,209,undefined,undefined,3.4,1.62,
