"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Joe Mauer","Twins","0.62","-8.50","9.12","12.29","1.23","0.98","1.64","10","-0.64","1.27","1857"
"Eric Hosmer","Padres","0.57","-11.39","11.96","5.43","0.55","0.99","2.43","2","-0.31","0.89","3516"
"Eduardo Escobar","- - -","0.43","-11.76","12.18","10.23","1.05","1.06","2.19","4","1.20","-0.80","6153"
"Justin Bour","- - -","0.42","-8.31","8.74","0.46","0.01","0.98","1.32","29","1.28","-0.85","9744"
"Ozzie Albies","Braves","0.29","-11.72","12.02","13.69","1.41","0.95","0.77","5","0.74","-0.44","16556"
"Yonder Alonso","Indians","0.27","-9.39","9.66","2.53","0.28","0.92","1.28","9","-0.51","0.81","2530"
"Derek Dietrich","Marlins","0.26","-9.51","9.77","1.99","0.15","1.01","1.38","28","0.60","-0.34","10542"
"Yoan Moncada","White Sox","0.26","-10.52","10.77","-3.26","-0.31","0.95","0.65","1","-0.57","0.84","17232"
"Matt Duffy","Rays","0.15","-9.72","9.87","3.60","0.33","1.01","1.48","5","-0.24","0.38","13836"
"Ender Inciarte","Braves","0.05","-11.58","11.63","-3.63","-0.30","1.00","1.41","3","-0.32","0.36","4922"
"Kyle Schwarber","Cubs","-0.01","-8.73","8.72","10.13","1.03","0.99","0.89","13","1.76","-1.77","16478"
"Jackie Bradley Jr.","Red Sox","-0.01","-8.73","8.72","-1.66","-0.20","0.90","","0","0.24","-0.26","12984"
"Yuli Gurriel","Astros","-0.04","-10.34","10.29","13.89","1.46","0.99","2.50","4","0.66","-0.70","19198"
"Kole Calhoun","Angels","-0.05","-8.91","8.87","-8.14","-0.79","0.89","1.33","5","-0.57","0.52","11200"
"Mallex Smith","Rays","-0.09","-9.71","9.63","4.45","0.51","1.01","0.99","7","1.50","-1.59","13608"
"Edwin Encarnacion","Indians","-0.13","-10.18","10.05","11.43","1.12","0.97","","0","1.48","-1.61","2151"
"Carlos Santana","Phillies","-0.14","-11.10","10.96","20.07","2.21","0.99","2.17","4","1.18","-1.33","2396"
"Yadier Molina","Cardinals","-0.16","-9.27","9.11","10.61","1.09","1.00","2.85","3","0.49","-0.64","7007"
"Kyle Seager","Mariners","-0.17","-11.55","11.38","-14.22","-1.44","1.04","3.21","4","-1.76","1.60","9785"
"Starlin Castro","Marlins","-0.20","-11.32","11.13","2.08","0.21","1.02","0.77","3","0.28","-0.48","4579"
"Ryon Healy","Mariners","-0.21","-9.68","9.46","-6.40","-0.54","1.01","1.38","4","-0.80","0.59","15447"
"Brandon Crawford","Giants","-0.23","-10.83","10.60","-7.63","-0.75","1.06","2.76","8","-0.94","0.73","5343"
"Tucker Barnhart","Reds","-0.35","-8.97","8.62","-13.90","-1.44","0.99","2.82","14","-0.40","0.05","10200"
"Corey Dickerson","Pirates","-0.35","-9.87","9.51","-2.67","-0.30","0.98","0.89","11","1.02","-1.38","10762"
"Joey Gallo","Rangers","-0.42","-10.82","10.40","4.27","0.41","1.03","1.60","11","0.46","-0.87","14128"
"Kevin Pillar","Blue Jays","-0.45","-10.32","9.87","-8.21","-0.91","1.05","1.61","6","-0.91","0.48","12434"
"Jon Jay","- - -","-0.46","-9.87","9.41","-10.17","-0.97","0.99","1.64","20","-1.27","0.80","5227"
"Miguel Rojas","Marlins","-0.51","-9.76","9.26","-6.98","-0.75","1.08","0.92","18","-1.10","0.63","7802"
"Adam Jones","Orioles","-0.54","-11.65","11.11","-10.69","-1.03","1.02","","0","-0.54","0.01","6368"
"Yolmer Sanchez","White Sox","-0.54","-11.30","10.76","-9.21","-0.90","0.97","1.38","5","-1.00","0.44","11602"
"Yasmani Grandal","Dodgers","-0.57","-9.75","9.18","16.80","1.91","1.03","1.40","21","1.87","-2.42","11368"
"Rougned Odor","Rangers","-0.64","-9.54","8.90","-1.74","-0.30","0.98","1.43","2","-0.03","-0.62","12282"
"Jose Peraza","Reds","-0.65","-11.83","11.19","1.94","0.20","1.01","0.26","2","-0.75","0.11","13593"
"Max Kepler","Twins","-0.72","-11.04","10.32","-7.42","-0.73","0.98","1.35","10","-0.05","-0.69","12144"
"Nick Ahmed","Diamondbacks","-0.83","-10.69","9.86","-4.63","-0.56","1.04","1.20","6","-0.75","-0.05","12147"
"Alex Gordon","Royals","-0.90","-9.95","9.05","-5.95","-0.54","1.01","","0","-0.82","-0.07","5209"
"Jonathan Villar","- - -","-1.09","-8.54","7.45","-0.39","-0.01","0.89","1.17","13","-0.30","-0.93","10071"
"Nomar Mazara","Rangers","-1.16","-9.85","8.69","-0.63","-0.13","1.00","0.66","2","-0.26","-0.90","14553"
"Teoscar Hernandez","Blue Jays","-1.17","-10.46","9.29","-9.42","-0.89","1.00","1.10","13","-0.03","-1.15","13066"
"Manuel Margot","Padres","-1.20","-9.40","8.21","-8.02","-0.75","1.00","1.17","6","-1.27","0.07","14712"
"Evan Longoria","Giants","-1.24","-9.69","8.45","-6.19","-0.75","1.04","2.70","3","-0.42","-0.78","9368"
"Dee Gordon","Mariners","-1.36","-11.40","10.04","-23.36","-2.50","1.04","1.77","5","-1.92","0.62","8203"
