"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Eugenio Suarez","CIN","3B","143","140","1218.0","94","250","19","14","5","17","23","0","1","","","","","",".948","","12552"
"Trevor Story","COL","SS","156","156","1372.2","197","416","13","6","7","83","47","42","7","","","","","",".979","","12564"
"James McCann","DET","C","114","112","987.1","847","50","5","3","2","1","7","0","3","","47","27","5","37",".995","","12859"
"Anthony Rendon","WSN","3B","136","135","1186.0","89","222","6","2","4","21","14","8","1","","","","","",".981","","12861"
"Gregory Polanco","PIT","RF","124","122","1071.2","229","8","2","2","0","0","1","0","0","","","","","",".992","","12907"
"Francisco Lindor","CLE","SS","157","157","1386.1","189","383","14","8","6","74","42","31","9","","","","","",".976","","12916"
"Jackie Bradley Jr.","BOS","CF","135","129","1137.1","299","9","5","3","2","0","3","0","0","","","","","",".984","","12984"
"Josh Bell","PIT","1B","137","135","1181.1","1021","83","6","4","2","80","2","1","88","15","","","","",".995","","13145"
"Mike Zunino","SEA","C","111","101","921.2","880","43","2","0","2","1","5","0","0","","34","18","10","36",".998","","13265"
"Stephen Piscotty","OAK","RF","151","148","1314.2","273","5","3","2","1","0","1","0","0","","","","","",".989","","13367"
"Jose Ramirez","CLE","3B","137","137","1210.1","94","205","11","8","2","17","15","4","2","","","","","",".965","","13510"
"Jose Peraza","CIN","SS","156","152","1329.0","161","403","22","15","7","78","49","32","5","","","","","",".963","","13593"
"Mookie Betts","BOS","RF","120","115","1001.0","241","4","1","1","0","0","0","0","0","","","","","",".996","","13611"
"Ketel Marte","ARI","2B","131","105","989.2","190","299","5","1","4","80","29","52","2","","","","","",".990","","13613"
"Jeimer Candelario","DET","3B","140","139","1212.0","116","241","10","5","4","23","24","0","3","","","","","",".973","","13621"
"Matt Duffy","TBR","3B","125","121","1063.0","87","253","13","4","9","19","21","3","1","","","","","",".963","","13836"
"Addison Russell","CHC","SS","129","110","1003.2","157","314","17","6","11","65","36","27","3","","","","","",".965","","14106"
"Albert Almora Jr.","CHC","CF","137","94","918.1","265","3","3","2","1","0","0","0","0","","","","","",".989","","14109"
"Carlos Correa","HOU","SS","109","109","959.0","106","268","6","4","2","37","23","16","4","","","","","",".984","","14162"
"Yasiel Puig","LAD","RF","118","107","964.2","171","10","8","4","4","0","4","0","0","","","","","",".958","","14225"
"Mitch Haniger","SEA","RF","144","128","1154.2","282","12","8","8","0","0","1","0","0","","","","","",".974","","14274"
"Matt Olson","OAK","1B","162","152","1403.1","1403","84","7","3","3","107","18","1","107","44","","","","",".995","","14344"
"Ronald Guzman","TEX","1B","117","105","939.2","909","54","6","4","1","92","9","0","98","23","","","","",".994","","14388"
"Nomar Mazara","TEX","RF","113","113","984.0","213","7","2","2","0","0","0","0","0","","","","","",".991","","14553"
"Manuel Margot","SDP","CF","136","123","1111.0","286","2","3","3","0","0","0","0","0","","","","","",".990","","14712"
"Johan Camargo","ATL","3B","114","105","937.0","64","170","10","7","3","11","13","1","2","","","","","",".959","","14950"
"Adam Engel","CHW","CF","140","124","1118.0","355","5","7","4","3","0","1","0","0","","","","","",".981","","15082"
"Tim Anderson","CHW","SS","151","151","1329.1","188","392","20","8","12","57","45","19","8","","","","","",".967","","15172"
"Ryon Healy","SEA","1B","131","128","1139.0","1007","63","8","6","1","103","9","2","109","19","","","","",".993","","15447"
"Amed Rosario","NYM","SS","146","141","1271.2","160","332","16","13","2","56","32","24","2","","","","","",".969","","15518"
"Jose Abreu","CHW","1B","114","114","999.2","903","73","8","5","2","69","9","0","75","18","","","","",".992","","15676"
"Miguel Andujar","NYY","3B","136","132","1169.1","93","178","15","7","7","6","6","0","0","","","","","",".948","","15878"
"Trea Turner","WSN","SS","159","158","1401.0","203","399","12","10","2","62","39","27","5","","","","","",".981","","16252"
"Rhys Hoskins","PHI","LF","135","133","1172.1","235","5","6","6","0","0","0","0","0","","","","","",".976","","16472"
"Kyle Schwarber","CHC","LF","120","115","943.2","174","11","1","1","0","0","0","0","0","","","","","",".995","","16478"
"Matt Chapman","OAK","3B","145","144","1273.2","133","331","20","8","12","32","33","3","1","","","","","",".959","","16505"
"Ozzie Albies","ATL","2B","157","151","1361.2","248","389","10","5","5","84","36","52","7","","","","","",".985","","16556"
"Colin Moran","PIT","3B","116","107","934.2","64","188","10","10","0","11","14","1","0","","","","","",".962","","16909"
"Gleyber Torres","NYY","2B","109","104","915.2","163","230","12","8","4","35","14","22","4","","","","","",".970","","16997"
"Yoan Moncada","CHW","2B","149","148","1294.1","213","335","21","19","2","68","26","49","7","","","","","",".963","","17232"
"Rafael Devers","BOS","3B","116","113","1016.2","57","245","24","12","12","13","14","0","0","","","","","",".926","","17350"
"Alex Bregman","HOU","3B","136","133","1173.2","84","245","13","2","11","21","22","0","1","","","","","",".962","","17678"
"Andrew Benintendi","BOS","LF","129","123","1077.1","201","11","3","1","2","0","2","0","0","","","","","",".986","","17901"
"Paul DeJong","STL","SS","114","111","1005.1","153","289","12","4","8","61","31","30","3","","","","","",".974","","18015"
"Dansby Swanson","ATL","SS","136","132","1165.2","165","350","10","8","2","70","36","36","5","","","","","",".981","","18314"
"Juan Soto","WSN","LF","114","112","987.0","207","4","2","2","0","0","2","0","0","","","","","",".991","","20123"
