mlbId,LastName,firstInitial
503556,Gonzalez, M
643376,Jansen, D
588751,Hechavarria, A
621566,Olson, M
501981,Davis, K
624407,Lin, T
573135,Saladino, T
429665,Encarnacion, E
518626,Donaldson, J
463610,Petit, G
656555,Hoskins, R
592348,Goodrum, N
545341,Grichuk, R
622534,Margot, M
405395,Pujols, A
460086,Gordon, A
519048,Moreland, M
457706,Jackson, A
572073,Rickard, J
519222,Romine, A
446334,Longoria, E
445988,Prado, M
624424,Conforto, M
453286,Scherzer, M
502210,Reddick, J
593372,Martinez, C
641820,Mancini, T
434158,Granderson, C
570560,Sanchez, Y
475253,Smoak, J
460026,Hundley, N
518960,Lucroy, J
543768,Shaw, T
518735,Grandal, Y
434778,Morales, K
592192,Canha, M
543939,Wong, K
547180,Harper, B
575929,Contreras, W
517369,Pirela, J
457727,Maybin, C
592669,Renfroe, H
592626,Pederson, J
543305,Hicks, A
571466,Barnhart, T
543543,Miller, B
467055,Sandoval, P
448602,Reynolds, M
571912,Maile, L
520471,Galvis, F
503556,Gonzalez, M
643376,Jansen, D
588751,Hechavarria, A
621566,Olson, M
501981,Davis, K
624407,Lin, T
573135,Saladino, T
429665,Encarnacion, E
518626,Donaldson, J
463610,Petit, G
656555,Hoskins, R
592348,Goodrum, N
545341,Grichuk, R
622534,Margot, M
405395,Pujols, A
460086,Gordon, A
519048,Moreland, M
457706,Jackson, A
572073,Rickard, J
519222,Romine, A
446334,Longoria, E
445988,Prado, M
624424,Conforto, M
453286,Scherzer, M
502210,Reddick, J
593372,Martinez, C
641820,Mancini, T
434158,Granderson, C
570560,Sanchez, Y
475253,Smoak, J
460026,Hundley, N
518960,Lucroy, J
543768,Shaw, T
518735,Grandal, Y
446263,Duda, L
657557,DeJong, P
435079,Kinsler, I
572669,Adams, L
646240,Devers, R
641313,Anderson, T
594953,Palka, D
606192,Hernandez, T
593993,Briceno, J
623520,Bote, D
477132,Kershaw, C
571718,Goodwin, B
621043,Correa, C
571431,Adams, M
621020,Swanson, D
656941,Schwarber, K
446308,Wieters, M
518614,Descalso, D
614173,Cordero, F
543302,Herrmann, C
408236,Gonzalez, A
570799,Villanueva, C
456124,Kratz, E
628338,Heredia, G
571740,Hamilton, B
435622,Desmond, I
541645,Garcia, A
458731,Gardner, B
606115,Arcia, O
641553,Engel, A
571657,Farmer, K
592387,Healy, R
660162,Moncada, Y
656775,Mullins, C
521692,Perez, S
608597,Guzman, R
605486,Spangenberg, C
605113,Ahmed, N
607468,Blandino, A
425844,Greinke, Z
591971,Valera, B
491676,Hernandez, G
598265,Bradley Jr., J
594011,Herrera, R
592808,Toles, A
542364,Ortega, R
620439,Barreto, F
571595,Cuevas, N
664023,Happ, I
664040,Lowe, B
425784,Rivera, R
570731,Schoop, J
570482,Urshela, G
581527,Travis, D
605170,Caratini, V
641857,McMahon, R
571851,Kieboom, S
523253,Forsythe, L
595978,Hedges, A
444876,Escobar, A
623182,Kivlehan, P
595375,Riddle, J
594694,Difo, W
542921,Beckham, T
543401,Kipnis, J
602922,Rondon, J
607430,Andreoli, J
592122,Austin, T
641531,Dozier, H
596119,Swihart, B
605512,Tucker, P
467793,Santana, C
571602,Davidson, M
452095,Flowers, T
571506,Bour, J
572191,Taylor, M
500208,Solarte, Y
591741,Osuna, J
605548,Zimmer, B
545358,Stassi, M
572365,Goins, R
594828,Gattis, E
608596,Murphy, T
664068,Kingery, S
452254,Pence, H
465753,Florimon, P
455117,Maldonado, M
543148,Federowicz, T
624636,Tocci, C
592826,Velasquez, V
593528,Bonifacio, J
600869,Candelario, J
434658,Davis, R
455104,Iannetta, C
641583,Fowler, D
642086,Smith, D
596146,Kepler, M
457803,Bruce, J
641432,Calhoun, W
455139,Chirinos, R
543377,Joseph, C
571875,Lamb, J
446192,Moore, A
607752,Travis, S
608654,Field, J
622682,Reyes, V
519023,Mesoraco, D
572122,Seager, K
621573,Dean, A
594824,Garcia, G
543510,McCann, J
519306,Souza Jr., S
500135,Rodriguez, R
435522,Walker, N
543376,Joseph, C
446359,Cozart, Z
606988,Greiner, G
502117,Negron, K
519346,Thames, E
572362,Erlin, R
475247,Flaherty, R
518902,Kozma, P
453923,Blanco, G
595281,Kiermaier, K
527043,Marte, J
607732,Stallings, J
592261,DeShields, D
572821,Dozier, B
488818,d'Arnaud, C
571679,Freitas, D
547170,Delmonico, N
664167,Trahan, B
641487,Crawford, J
400284,Utley, C
453943,Frazier, T
608475,Lugo, D
607776,Williamson, M
643265,Cooper, G
435263,McCann, B
545350,Marisnick, J
460269,Gimenez, C
596295,Gomber, A
641684,Hermosillo, M
489267,Rosales, A
545121,Vargas, I
608700,Plawecki, K
461865,Romine, A
641645,Guillorme, L
621028,Newman, K
491696,Sucre, J
460576,Gomez, C
649966,Urias, L
594777,Calhoun, K
459964,Joyce, M
592444,Jones, J
543877,Vazquez, C
605509,Tomlinson, K
542513,Telis, T
596129,Vogelbach, D
572008,Owings, C
595956,Gallagher, C
446386,Guyer, B
